district,Lead Bank Allottedto,No. ofvillages,No. ofhouse – holds,No. ofhouseholdscoveredbyopeningbankaccounts (No. ofaccountsopened),No. of KCC issued
Bishnupur,,48,44891,256816,7676
Chandel,,447,29097,83230,1550
Churachandpur,,613,49916,228564,4346
Imphal East,a di n I of k n a B d e nit U,195,91806,217411,7004
Imphal West,,150,111393,902651,20908
Jiribam,,,,,54
Kakching,,,,,889
Kamjong,,,,,0
Kangpokpi,,,,,2648
Noney,,,,,17
Pherzawl,,,,,0
Senapati,,934,34487,184830,5531
Tamenglong,,171,24477,65324,134
Tengnoupal,,,,,1043
Thoubal,a di n I of k n a B e at St,128,85295,422478,8779
Ukhrul,,198,35790,127440,576
