district,No of SHGs formed,No of women SHGs,No of SHGs taken up economic activities
Bishnupur,3420,3027,3390
Chandel,773,696,382
Churachandpur,2324,2190,1965
Imphal East,3278,2970,2953
Imphal West,7214,6277,6362
Jiribam,10,0,0
Kakching,410,384,288
Kamjong,8,7,8
Kangpokpi,462,445,408
Noney,479,387,433
Pherzawl,0,0,0
Senapati,3376,3255,2982
Tamenglong,595,482,515
Tengnoupal,771,695,796
Thoubal,5403,5036,4657
Ukhrul,1622,1486,1593
