district,Deposit,Advance,CD ratio Norm 60%,KCC Sanctioned,% of Agri. Advto NBC 18%,Total Priority Sector Advances,% of PS Advanceto NBC Norm 40%
Bishnupur,18577.59,15330.26,83,2691.51,24,10866.29,71
Chandel,7385.00,7106.42,96,560.54,2,1643.00,23
Churachandpur,48663.61,28815.62,59,10291.86,13,14039.73,49
Imphal East,74622.55,43022.05,58,2890.69,15,24898.30,58
Imphal West,490867.59,228750.69,47,10869.26,9,130816.68,57
Jiribam,3407.00,485.00,14,14.55,39,368.66,76
Kakching,8750.59,9053.40,103,481.18,19,5694.97,63
Kamjong,635.00,555.00,87,0.00,0,85.75,15
Kangpokpi,11198.37,10299.29,92,653.78,20,3544.21,34
Noney,1520.51,779.85,51,5.97,7,282.59,36
Pherzawl,5.00,0.00,0,0.00,0,0.00,0
Senapati,20572.64,17690.10,86,3654.83,7,5681.25,32
Tamenglong,9866.37,2618.88,27,12.55,32,2359.67,90
Tengnoupal,6845.32,5517.95,81,642.30,13,1398.33,25
Thoubal,22171.85,17389.44,78,4210.31,19,9026.25,52
Ukhrul,17535.47,5038.89,29,130.96,17,3176.03,63
