District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,1560,1870.42,5651,5187.57,6621,9138.81,19296,22316.03
Barpeta,9021,4932.32,21274,12034.92,3016,2565.25,8146,6505.21
Biswanath,4539,2945.56,12633,7539.58,4136,3251.34,16078,10088.45
Bongaigaon,5131,3679.34,12148,9486.41,1959,4082.17,5527,9529.12
Cachar,30290,17790.57,62506,37735.12,2858,2942.02,9941,10557.16
Charaideo,549,347.82,1894,1393.42,490,499.61,1541,1324.18
Chirang,2311,2181.19,4966,4351.2,4070,9736.67,17734,24223.5
Darrang,1540,1076.76,5056,3658.03,1086,1106.71,3903,3395.02
Dhemaji,1511,1613.59,6391,5359.77,8082,11345.68,28116,32480.86
Dhubri,6948,4318.62,15585,10418.44,1028,1154.47,3170,3247.08
Dibrugarh,5445,4809.52,19802,17171.09,6276,8142.7,21865,24359.48
Dima Hasao,213,459.01,1351,2032.95,2020,5008.22,4648,10885.64
Goalpara,2755,1998.5,7543,5354.23,7813,6043.09,20572,15108.48
Golaghat,7437,4503.53,25181,14220.9,6216,4713.64,22507,15298.12
Hailakandi,5582,3286.9,10463,7172.84,459,369.09,2033,1916.2
Hojai,7245,5023.13,18763,11643.61,2149,1973.42,7030,5830.46
Jorhat,5609,3848.5,21226,14187.5,3830,4438.54,20610,15465.18
Kamrup Metro,11659,7128.45,29598,18559.92,9506,8201.57,25197,19287.82
Karbi Anglong,635,1134.75,1531,2865.81,8123,15210.25,21745,36315.9
Karimganj,19587,10904.77,33815,17621.52,1877,1136.15,4332,3016.15
Kokrajhar,2145,1858.15,5255,4602.74,7854,16724.59,24313,40970.06
Lakhimpur,5439,3354.02,20591,15553.62,8376,9299.21,30000,31245.54
Majuli,286,360.82,1341,1080.65,381,873.59,3414,2957.23
Morigaon,6534,3591.72,18040,10288.44,7465,4481.49,23679,13857.58
Nagaon,14325,8771.61,39876,24010.09,9674,6229.25,25181,17027.54
Nalbari,3264,1906.51,10060,6565.71,1726,1528.84,6665,5544.39
Sivasagar,3755,3458.1,12710,10425.71,2562,2996.26,8317,8927.38
Sonitpur,7187,4601.92,19892,14019.75,6915,5241.09,19544,14890.95
South Salmara,9,18.63,84,128.71,13,17.95,59,77.08
Tinsukia,2817,2237.65,9157,9109.17,4288,5198.23,13012,16128.12
Udalguri,1187,1482.79,4070,3318.01,7552,11630.71,36020,38678.13
West Karbi Anglong,93,245.27,233,585.2,1351,3584.06,3788,8962.64
