district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,35093,533307,21140,93273,797628,59232,15908,144274
Barpeta,45032,953172,25041,165323,1430492,99106,22818,233173
Biswanath,27260,305430,13590,71079,440112,40212,15813,114152
Bongaigaon,17801,280070,8966,65175,426011,39203,11388,94364
Cachar,65090,559337,35185,179790,904473,114485,25395,270275
Charaideo,13107,161139,6364,35946,239752,23235,5422,54475
Chirang,19858,333529,12365,55368,490225,38865,8857,84083
Darrang,39569,539305,21309,108967,838421,64798,15819,164355
Dhemaji,32293,349790,15000,102887,551924,55589,20497,155677
Dhubri,38488,749688,19676,183803,1225259,118589,20828,243119
Dibrugarh,66564,607485,42363,161745,922511,112603,31499,259808
Dima Hasao,10440,73928,4001,24709,106721,15236,6726,41875
Goalpara,26221,472598,14448,107280,747244,63009,13369,146870
Golaghat,45476,391075,22334,113773,604962,69135,22224,181473
Hailakandi,21602,252251,11639,59616,458259,39238,9246,90464
Hojai,27361,290683,13343,81199,485478,54756,9353,117913
Jorhat,41859,375273,22463,130363,583945,86633,24003,196225
Kamrup Metro,51441,838639,33084,147809,1233769,101078,27159,226409
Karbi Anglong,26798,311019,17465,77385,410533,62555,23105,127288
Karimganj,28210,347268,14866,76777,578543,52068,13708,118695
Kokrajhar,21455,454418,14554,58171,730106,37301,8219,87845
Lakhimpur,49661,384572,21626,148099,606121,80235,23520,221280
Majuli,4948,79810,2319,15466,119228,11388,4017,24431
Morigaon,31796,335841,14341,79998,524464,54731,14324,126118
Nagaon,76853,798751,38151,204693,1380285,108026,35375,316921
Nalbari,30355,454864,18616,84942,668201,60510,13876,129173
Sivasagar,42601,309312,25037,106950,474592,69454,15227,164778
Sonitpur,72781,675691,32982,160525,984605,80639,25032,258338
South Salmara,1501,95947,693,7637,140806,3954,1042,10180
Tinsukia,53546,563600,28760,133707,817902,87122,22825,210078
Udalguri,41306,583868,21965,89456,863875,49148,13609,144371
West Karbi Anglong,9357,119649,6173,23975,166511,19439,9403,42735
