District,Inactive BC,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Baksa,7,327684,293735,20233,15537
Barpeta,8,563974,442651,60405,23026
Biswanath,4,101114,76196,25203,13815
Bongaigaon,2,198621,164049,29477,7239
Cachar,34,290776,213189,85104,17227
Charaideo,2,54434,42778,6677,6915
Chirang,10,173809,154003,11684,9771
Darrang,13,243606,205228,36450,17687
Dhemaji,12,305804,283846,35179,12765
Dhubri,18,509497,468149,69446,14566
Dibrugarh,65,286483,212142,84485,26798
Dima Hasao,8,27418,21141,59962,412
Goalpara,11,238063,212388,35083,15680
Golaghat,15,202526,165424,60306,24892
Hailakandi,36,152112,121557,30652,7701
Hojai,8,217273,182208,73286,9373
Jorhat,41,181514,124387,57606,22378
Kamrup Metro,34,384229,291256,49000,30938
Karbi Anglong,14,107046,65954,54319,3762
Karimganj,16,171932,152188,54262,7237
Kokrajhar,1,232044,214826,33279,14493
Lakhimpur,4,318935,291732,44076,19791
Majuli,20,31711,27819,6994,3617
Morigaon,9,140157,103388,45452,15909
Nagaon,101,559506,491336,264886,30139
Nalbari,11,155758,125029,46896,15978
Sivasagar,2,150017,127545,26634,13377
Sonitpur,32,324144,276057,103104,17136
South Salmara,13,26045,20876,10508,1877
Tinsukia,44,244905,158629,78519,20995
Udalguri,20,277522,258426,16830,13141
West Karbi Anglong,6,32087,31438,9899,494
