district,CY Disb No.,CY Disb Amt.,O/S No.,O/S Amt.
Baksa,17135,10804.11,42088,20896.09
Barpeta,61953,31000.23,154281,65857.68
Biswanath,26255,14047.61,69412,31074.85
Bongaigaon,31647,18591.42,83360,37865.94
Cachar,115733,64950.1,215142,111559.85
Charaideo,8844,5895.85,22564,11968.71
Chirang,14154,9980.75,31876,19436.53
Darrang,41882,20352.67,100578,42021.41
Dhemaji,17151,11355.98,48481,27271.74
Dhubri,67104,34336.3,126398,61767.15
Dibrugarh,59419,45549.85,175466,106118.7
Dima Hasao,1529,3759.17,4529,9112.8
Goalpara,31662,17537.34,69109,32578.6
Golaghat,56499,31377.07,173572,70326.95
Hailakandi,21107,11034.25,36271,18282.67
Hojai,32013,17725.07,72285,33545.37
Jorhat,49809,34883.92,169852,92372.18
KARIMGANJ,61365,30630.94,106688,46324.86
Kamrup,94940,54106.76,238959,106322.69
Kamrup Metro,94095,126630.62,228187,336694.84
Karbi Anglong,17402,14007.24,39506,27709.39
Kokrajhar,24163,14596.64,42559,26662.71
Lakhimpur,46214,24091.1,127478,59654.06
Majuli,1286,918.73,4670,2235.08
Morigaon,35760,19208.01,83926,38544.51
Nagaon,107292,58346.57,269520,124772.12
Nalbari,39348,19682.16,108976,42869.27
Sivasagar,44759,31748.98,129029,72444.11
Sonitpur,55601,33924.69,141915,74492.78
South Salmara,168,201.5,870,787.95
Tinsukia,39734,27441.04,108095,66325.83
Udalguri,13633,9844.46,35841,21158.22
West Karbi Anglong,1324,1978.77,5917,5601.03
