District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Baksa,34781759,1186415.52,2925886,68330.02,1216,128.07,3325935,587988.39,259475,18983.85,974752,10274.61
Barpeta,320217431,12335543.75,4383309,109693.05,430,96.95,26761022,5739316.08,529733,60582.88,3911638,17334.31
Biswanath,160420950,3798354.34,1659962,34241.87,43,33.1,7576135,1688586.52,481721,35442.13,454842,6320.78
Bongaigaon,117559139,3698460.34,1997277,46497.97,1052,83.7,13096977,2534283.97,309355,39487.21,921167,11137.19
Cachar,229750930,7438381.05,4552412,100528.87,2029,764.95,41263848,8555107.65,808123,135366.53,1585384,23059.24
Charaideo,145813,3717.68,913813,19443.39,565,267.03,44539,13078.83,123251,17344.65,347096,4671.85
Chirang,112830,5726.93,1391720,29775.1,11,8,38182,13061.4,172575,12424.68,630646,8520.1
Darrang,115186429,4093255.82,1917458,45656.55,675,119.42,11447586,2531979.7,317545,28916.78,570264,7085.11
Dhemaji,21525958,697299.45,2526501,50984.42,476,130.1,2608935,525994.62,368605,27949.34,598512,7550.74
Dhubri,95476886,3798142.55,3441267,87430.86,613,413.48,8088220,1498590.86,470679,52028.3,1190563,11743.43
Dibrugarh,438999560,12538633.75,5212203,110987.11,5175,810.01,74899160,16500429.75,1837651,146819.54,2356684,34836.63
Dima Hasao,9210,1725.53,964288,24575.23,32,8,1979,556.61,97195,9738.69,323579,4250.64
Goalpara,109442639,3963795.66,1898080,49994.58,756,340.46,10027618,2232480.43,298220,42323.48,610727,7056.08
Golaghat,181659814,5641886.76,3268497,63474.42,234,1981.38,36191574,8415670.72,966934,76705.86,1097285,15982.34
Hailakandi,6345763,266839.12,1590039,29646.15,46,18566.01,1387578,378035.37,149564,29356.41,270659,3640.72
Hojai,119839830,4545432.52,2356226,58292.6,2051,428.14,21122501,4902760.09,301303,78439.24,544877,7241.83
Jorhat,355614862,9583164.2,3783986,76574.67,3318,501.54,64311120,12294661.2,1022982,80740.54,1883881,27858.64
Kamrup Metro,356054291,10828223.83,5260467,117015.09,187,87.23,35166122,7555759.47,961471,82119.61,1876723,28310.55
Karbi Anglong,68983390,2313887.86,2164076,47708.54,39,8.54,10884456,1827568.04,401726,23053.38,648155,9318.81
Karimganj,90913279,3832373.54,2677424,62734.53,742,193.8,19389933,5396493.35,362424,37213.69,586521,8107.93
Kokrajhar,59044614,1964118.49,1689876,37038.82,72,8.19,7182558,1219175.54,199170,9851.63,1559339,10464.73
Lakhimpur,129063995,3756568.94,3400480,70118.21,147,117.17,16014533,4684303.25,560950,54270.62,828661,11432.38
Majuli,35134,804.83,444301,7876.34,547,265,18028,1471.75,29280,9633.23,103264,1324.02
Morigaon,129095417,4605116.99,1324083,33278.2,1111,85.72,8104557,2677753.82,314733,26857.76,465381,5256.24
Nagaon,217394803,6975431.64,4905530,121602.58,3533,1379.48,21415251,4309691.08,695586,92729.71,1563046,22145.13
Nalbari,86819507,2561972.97,2178251,46311.26,619,280.21,9718758,2054545.2,344284,30748.09,864773,9917.23
Sivasagar,193184292,5718443.23,3391622,74759.15,1137,298.62,28815410,5764702.43,792280,42660.13,1580574,24497.57
Sonitpur,223808636,7128530.57,4867671,103517.59,1414,335.78,33826376,6609313.55,749048,59351.59,1837317,24739.54
South Salmara,43611,1053.51,158466,5026.62,0,0,47574,4199.14,10900,525.57,25227,420.01
Tinsukia,340769710,10947471.95,3627057,75789.74,4092,880.61,76958313,19957954.78,940505,175922.95,1253971,17807.28
Udalguri,683449,27221.61,2235984,42098.69,12,9.06,238087,44778.54,127341,11786.25,483524,5994.28
West Karbi Anglong,22686,1669.12,804025,15540.27,0,0,2791,613.92,93037,3861.61,175462,1977.76
