District,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt
Baksa,87,49.28,33,26.85,23,22.4,40,17.62,14,12.98,8,10.81,0,0,0,0,1962,863.56,2167,1003.5
Barpeta,120,198.64,124,98.29,296,373.54,240,276.49,40,59.88,68,54.56,0,0,4,6.52,4276,2609.17,5168,3677.09
Biswanath,86,85.92,130,237.32,29,39.85,45,46.97,66,64.59,9,7.4,0,0,3,4.5,649,704.11,1017,1190.66
Bongaigaon,60,84.45,51,48.08,346,270.63,43,47.31,35,42.22,16,18.67,1,55.97,3,3.58,3569,1528.98,4124,2099.89
Cachar,246,273.84,417,285.9,139,255.35,162,188.84,128,126.89,127,97.67,2,601.5,0,0,2782,1687.8,4003,3517.79
Charaideo,58,51.18,54,38.4,17,31.63,29,39.91,20,15.66,6,9.82,0,0,0,0,27,46.4,211,233
Chirang,46,19.13,27,19.2,12,19.46,8,9.71,7,6.87,4,3.7,0,0,4,7.05,669,241.64,777,326.76
Darrang,100,127.47,93,64.2,66,86.88,71,66.3,23,25.79,60,48.88,1,2.06,7,9.55,1406,800.02,1827,1231.15
Dhemaji,93,86.89,114,75.75,41,84.3,90,51.22,41,29.31,12,25.86,0,0,7,10.82,627,217.88,1025,582.03
Dhubri,241,106.41,181,116.65,101,73.94,63,90.9,48,27.93,15,15.55,0,0,1,0,339,213.59,989,644.97
Dibrugarh,209,206.85,158,119.25,86,131.17,73,71.12,78,81.34,53,42.67,0,0,2,3,2698,3302.34,3357,3957.74
Dima Hasao,52,59.06,36,24.15,39,42.34,10,9.41,23,29.93,6,0,0,0,0,0,150,108.33,316,273.22
Goalpara,204,112.69,216,131.85,105,83.91,49,52.67,16,20.29,19,18.78,0,0,5,6.72,2327,1042.08,2941,1468.99
Golaghat,112,144.99,271,179.16,93,134.17,63,86.64,49,61.32,14,11.1,1,304.91,3,3.5,3658,2449.24,4264,3375.03
Hailakandi,74,103.41,96,65.85,94,152.24,26,46.26,49,65.06,10,19.26,1,810,8,11.77,261,269.36,619,1543.21
Hojai,59,100.76,222,148.2,69,105.38,70,58.3,31,41.45,17,29.3,0,0,2,2.65,393,294.5,863,780.54
Jorhat,135,144.81,139,105.76,124,193.22,37,61.48,95,175.26,32,28.63,0,0,4,6,2645,4442.45,3211,5157.61
Kamrup Metro,261,310.24,363,238.8,241,205.72,171,170.53,73,70.43,36,23.55,1,20.45,2,1.85,8240,4465.77,9388,5507.34
Karbi Anglong,71,45.04,76,46.6,49,26,8,7.64,6,7.87,3,1,0,0,0,0,715,1034.87,928,1169.02
Karimganj,122,197.04,222,148.2,108,198.37,86,113.88,50,60.39,21,32.49,0,0,9,9.89,556,471.56,1174,1231.82
Kokrajhar,117,12.41,15,12.6,10,7.67,17,6.95,9,6.18,8,6.14,0,0,0,0,225,218.97,401,270.92
Lakhimpur,156,240.18,276,195.3,124,213.21,100,96.17,116,141.86,51,51.21,0,0,7,9.36,344,261.13,1174,1208.42
Majuli,10,18.79,15,12.6,5,8.21,13,13.41,4,6.21,5,9.75,0,0,0,0,2,4,54,72.97
Morigaon,322,273.74,118,87.1,139,210.44,84,117.79,57,49.74,70,74.79,0,0,7,10.17,627,279.05,1424,1102.82
Nagaon,313,391.61,670,421.15,153,284.74,170,274.16,74,92.6,300,253.78,2,131.49,8,11.08,4450,1789.39,6140,3650
Nalbari,339,234.84,48,39.45,235,195.33,52,79.78,57,44.09,38,52.09,0,0,2,3.5,2049,1423.09,2820,2072.17
Sivasagar,176,152.04,138,97.65,43,76.18,78,85.5,84,53.3,19,20.12,0,0,5,0,1258,1052.32,1801,1537.11
Sonitpur,144,165.2,171,120.15,64,184.62,83,124.38,98,76.78,55,85.12,0,0,4,23,3811,2298.12,4430,3077.37
South Salmara,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tinsukia,218,225.55,165,121.55,227,296.92,67,65.79,84,105.89,26,32.93,0,0,4,6.45,2882,3990.59,3673,4845.67
Udalguri,106,39.9,45,29.1,3,8.19,11,7.83,114,86.89,13,12.8,0,0,0,0,1019,394.64,1311,579.35
West Karbi Anglong,0,0,0,0,5,2.67,0,0,0,0,0,0,0,0,0,0,2,0.23,7,2.9
