District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,951774,38216,36673
Barpeta,1974761,79789,105684
Biswanath,644372,22934,58038
Bongaigaon,727275,28820,86655
Cachar,1830741,63693,519439
Charaideo,357237,2527,31504
Chirang,613452,12964,39518
Darrang,1235394,37252,112519
Dhemaji,996089,28950,129924
Dhubri,2024688,67259,290479
Dibrugarh,1577126,58750,276151
Dima Hasao,191950,25911,54585
Goalpara,1051225,33881,82893
Golaghat,1346484,71713,318654
Hailakandi,747816,33909,196348
Hojai,817716,73090,188641
Jorhat,1255102,48624,360205
Kamrup Metro,1925353,71427,144038
Karbi Anglong,590159,60887,63427
Karimganj,1210685,55416,367238
Kokrajhar,890157,39967,50432
Lakhimpur,1223504,50414,245189
Majuli,167652,5960,22993
Morigaon,1230039,56770,460772
Nagaon,2657533,342777,681753
Nalbari,936443,51598,76885
Sivasagar,1022806,33897,283896
Sonitpur,1450896,129864,198398
South Salmara,180098,17256,18752
Tinsukia,1367358,45513,363660
Udalguri,899807,20110,33551
West Karbi Anglong,209751,12475,10204
