District,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Baksa,30199,18407.57,4970,3185.64,15354,11552.97,17,7.85,3736,3302.25,3882,1390.5,14437,12845.74,25,4.34,1882,2156.67,74502,52853.53
Barpeta,66976,35245.36,20358,9793.53,7500,4370.32,169,32.06,4754,4060.41,21328,5563.73,84075,53997.1,535,66.12,6090,7518.71,211785,120647.34
Biswanath,31527,18384.4,11881,5964.08,11812,6121.23,52,6.68,5305,4512.04,4520,1793.33,14263,8407.6,87,5,6229,5352.46,85676,50546.82
Bongaigaon,23918,11208.3,10726,5971.03,3422,4017.85,78,19.46,1674,1791.35,21465,4832.95,36831,21181.76,819,44.26,11313,7799.53,110246,56866.49
Cachar,73170,48540.3,60599,32640.46,9079,7295.49,553,94.98,5135,3686.82,19984,8547.61,109883,67635.58,1358,121.48,35222,41037.51,314983,209600.23
Charaideo,16944,10165.6,1826,1234,1394,893.26,52,11.17,1858,1693.92,3567,1606.96,2656,1690.16,122,19.56,3510,4021,31929,21335.63
Chirang,22434,12736.52,4481,2744.57,13488,11200.48,25,8.87,2477,2197.09,3209,1395.99,12760,7917.03,12,4.13,2151,1999.43,61037,40204.11
Darrang,51007,29581.86,4680,2673.75,3542,2267.33,82,13.71,3609,3595.07,11700,3142.25,66005,39410.65,707,38.73,4222,4328.05,145554,85051.4
Dhemaji,26772,17679.49,5761,3927.52,20388,15529.8,123,19.44,4057,3020.95,6508,2842.5,1279,805.5,139,20.82,7102,7334.12,72129,51180.14
Dhubri,46599,27459.25,14675,8171.68,2669,1692.27,180,36.85,3303,2483.93,5539,2534.71,99716,56847.61,556,38.32,10035,7375.69,183272,106640.31
Dibrugarh,90091,54438.78,18351,12817.92,18815,14775.79,331,113.86,6239,5097.4,31294,12068.97,14066,13473.85,435,66.3,20637,25425.6,200259,138278.47
Dima Hasao,1073,511.83,1071,1313.52,2537,4286.45,60,3.12,776,703.96,2104,1144.19,866,1428.34,7,2.12,3227,3706.59,11721,13100.12
Goalpara,37169,19819.91,6858,3841.27,18439,9381.21,86,13.95,4772,3590.93,7591,2521.94,40498,25671.86,200,16.7,4138,4726.74,119751,69584.51
Golaghat,103542,50358.61,24201,11900.41,19748,10260.32,234,40.56,4222,4673.04,36838,7954.74,21254,10138.14,923,82.21,18075,13462.12,229037,108870.15
Hailakandi,22536,12183.76,9766,5736.74,1848,1460.7,122,22.28,1759,1200.01,3248,1587.2,32303,21273.29,97,22.44,6108,5422.65,77787,48909.07
Hojai,34232,20999.71,18270,10284.77,6398,4221.02,224,39.36,3056,2227.37,5646,2733.29,36795,21662.46,185,28.04,13487,10363.18,118293,72559.2
Jorhat,78590,34670.25,19401,10687.4,16307,9492.88,249,81.85,3431,3982.84,27999,8180.58,13265,11699.86,467,53.02,27019,20209.65,186728,99058.33
Kamrup Metro,92927,49799.87,27909,14548.72,21939,12080.3,270,68.53,6736,6382.68,43098,9875.45,70173,41225.77,376,39.33,14325,11225.35,277753,145246
Karbi Anglong,13412,5638.85,1010,1321.87,15565,16944.45,29,4.9,4194,2465.75,10560,3158.4,1731,2266.48,138,4.58,1921,2232.78,48560,34038.06
Karimganj,45724,31752.97,33208,16331.4,4161,2543.33,208,50.55,2915,1796.19,8901,2425.73,52422,28646.53,275,56.63,11159,9044.5,158973,92647.83
Kokrajhar,24640,13788.85,4538,2833.22,14807,15280,66,8.08,2252,2017.47,5377,2602.37,27301,13382.66,79,10.05,5251,4533.49,84311,54456.19
Lakhimpur,67258,42068.45,19649,12989.85,22839,18808.29,379,84.27,5404,5209.44,19180,8158.15,25183,15791.75,88,36.1,25984,34406.35,185964,137552.65
Majuli,6039,3146.36,1222,706.41,2479,1803.46,14,9.16,749,675.11,608,368.2,608,333.46,24,3.26,1098,1148.43,12841,8193.85
Morigaon,61094,40935.46,17422,9637.73,22238,12025.44,238,48.7,4133,3373.54,8400,3016.91,45036,25341.5,1775,119.4,10330,7960.56,170666,102459.24
Nagaon,131381,72095.77,38627,21317.65,24267,14021.61,469,75.31,5997,5995.56,33767,10376.58,142301,78125.23,1721,127.57,36154,31857.05,414684,233992.33
Nalbari,43385,21196.5,9502,5116.48,6169,4099.98,98,15.35,5029,5663.94,26469,5582.13,36013,20039.81,383,67.33,6667,5581.87,133715,67363.39
Sivasagar,50285,26394.85,11390,6998.35,6687,4589.75,173,21.51,2616,2706.93,14864,5080.55,16913,16721.34,604,48.99,13216,9343.94,116748,71906.21
Sonitpur,53399,30283.3,18684,11144.56,18200,10751.07,298,54.27,5886,5421.28,15736,6831.67,41872,26063.9,861,241.45,24195,20585.95,179131,111377.45
South Salmara,2450,953.94,31,76.83,23,5.78,0,0,289,260.49,258,107.83,2239,3629.18,13,0.05,158,206.45,5461,5240.55
Tinsukia,61581,44041.54,8585,7613.8,11665,11657.61,182,52.8,3901,3604.87,19833,12508.67,10158,11511.51,1031,147.87,7831,9013.47,124767,100152.14
Udalguri,37560,22552.03,3523,1950.87,30350,25964.99,20,10.87,2522,2363.6,4677,2714.61,8612,9009.06,55,2.15,2937,3006.87,90256,67575.05
West Karbi Anglong,2567,1399.12,115,157.87,2045,3212.67,1,0.01,2159,1109.12,3803,1194.96,230,424.45,17,0.31,14,28.39,10951,7526.9
