district,Crop Loan A/C Nos,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Res A/C Nos,Water Res Amt,Farm mechanization A/C Nos,Farm mechanization Amt,Plantation & horticulture A/C Nos,Plantation & horticulture Amt,AH A/C Nos,AH Amt,Fishery A/C Nos,Fishery Amt,Farm Credit Others A/C Nos,Farm Credit Others Amt,Agri. Infrastructure A/C Nos,Agri. Infrastructure Amt,Ancillary Activities A/C Nos,Ancillary Activities Amt,Agri Total A/C Nos,Agri Total Amt
Baksa,26209,22805.78,240,843.92,922,823.85,576,1658.54,1994,1205.6,8820,11719,3841,2299.92,1152,633.32,2680,918,3687,998,50121,43905.93
Barpeta,69229,67750.91,0,0,2505,2713.77,1312,3249.65,898,975.32,5469,16399.62,1794,1657.44,1223,734.8,1786,8931.02,106,1079.55,84322,103492.08
Biswanath,7395,10030,0,0,346,626,674,1977,296,600,949,2321,391,1136,611,3147,340,818.85,1352,1785.58,12354,22441.43
Bongaigaon,31013,46521.06,55,63.8,1885,5019.45,440,2186.1,331,672.6,2628,9841.93,385,1049.18,56,41.2,660,1802.45,385,1338,37838,68535.77
Cachar,67505,58876.67,600,297,1485,903.6,1410,3329.4,2813,4209.87,4267,10299.85,5044,3658.62,375,210,1119,2032.58,1516,1626.7,86134,85444.29
Charaideo,20415,18161,59,53,649,437,734,1448,2809,2429,4330,8177,609,378,284,136,522,689,632,595,31043,32503
Chirang,31150,31753.59,180,170.36,760,327.12,604,1039.12,2260,1446.28,6598,6266.11,820,559.27,240,124.8,2116,794.04,544,1018,45272,43498.69
Darrang,34856,23416.01,0,0,1108,854.65,493,1212.02,2420,1466.64,7054,8111.28,3148,1862.26,1122,1685.47,1746,1853.4,2286,2631.8,54233,43093.53
Dhemaji,38767,32821.64,665,555.58,1145,632.25,650,1526.54,2369,2873.33,2307,4237.85,834,534.05,195,109.2,719,412.13,424,364.2,48075,44066.77
Dhubri,53317,48591.79,104,65.44,5619,2574.29,2760,5648.04,2382,1258.45,7790,11788.37,2340,1368.6,216,102.72,5213,5853.08,2004,3830.4,81745,81081.18
Dibrugarh,23673,27557.79,312,481.71,382,572.84,1653,2640.99,2786,4443.26,5657,9022.68,745,1177.34,182,259.95,745,1895.78,3124,9158.1,39259,57210.44
Dima Hasao,24065,27316.13,1202,1129.18,641,178.5,1088,1740,3242,8489.4,1532,2491.3,145,122.91,87,48.72,361,368.41,100,377.2,32463,42261.75
Goalpara,50092,41687.5,519,544.87,1209,452.29,1206,2325.51,6764,6193.02,3211,4545.52,2121,1404.27,166,89.6,979,718.29,561,554.11,66828,58514.98
Golaghat,26740,24388,550,268.44,985,622.73,1568,3318.88,2744,5073.36,5104,7728.95,1645,1049.31,755,422.8,2598,2201.38,1066,2002,43755,47075.85
Hailakandi,37510,32687.24,100,43.82,300,169.95,93,210.11,1050,1461.67,2849,4988.39,891,653.19,60,33.6,520,847.53,1170,932,44543,42027.5
Hojai,2977,2073.54,0,0,0,0,100,150.07,49,137.75,164,170.56,34,403.76,13026,7520.74,2608,1925.3,2464,2344.59,21422,14726.31
Jorhat,47500,49229.87,137,277.62,960,2915.35,1775,4215.12,2295,3943.56,555,1872.03,269,1194.03,106,297.2,305,3220.55,1580,10148.4,55482,77313.73
Kamrup Metro,43364,30872.6,175,161.36,991,700.67,945,2719.15,3361,3249.72,4097,6915.77,1612,910.56,555,273.42,1820,4390.01,5614,3666.6,62534,53859.86
Karbi Anglong,52606,46380.53,379,213.52,670,412.21,370,1014.53,4175,9234.18,12063,9706.42,264,174.42,134,75.6,248,496.71,206,671.6,71115,68379.72
Karimganj,21715,19540.89,88,92.69,1185,852.2,780,2579.95,1182,1178.73,4297,4525.33,2338,1585.92,434,230.72,5368,2186.47,7847,3635.41,45234,36408.31
Kokrajhar,29783,25991.06,607,463.52,1374,590.97,804,1474.89,2412,3075.94,4004,9915.59,1155,939.64,192,937.4,1188,2741.87,646,1609.18,42165,47740.06
Lakhimpur,48654,45200.57,0,0,1785,1339.49,2060,4631.01,2727,2845.11,3245,5773.14,1438,805.75,316,208.25,557,978.22,635,801.4,61417,62582.94
Majuli,25500,20599.07,40,28.72,600,786.52,455,1061.37,389,337.61,1384,1743.39,541,332.41,40,24.4,424,758.56,84,124.4,29457,25796.45
Morigaon,59583,30006.18,0,0,7792,5388.43,876,4893.52,1936,2605.79,5248,9296.29,2293,2114.16,114,50.96,45,1131.63,128,1011.4,78015,56498.36
Nagaon,70988,68065.74,141,151,7370,4461.93,2592,5119.28,2329,2403.18,12439,17443.35,6932,3659.77,52,29.12,671,947.49,697,942.2,104211,103223.06
Nalbari,11125,11195,0,0,576,915,2139,3565,0,0,3676,5575,678,1217,0,0,2652,5291,884,1516,21730,29274
Sivasagar,14065,15846.87,88,83.09,1020,584.5,756,1587.03,1523,2168.32,2561,4995.52,657,517.97,425,235.45,698,9145.8,265,623.76,22058,35788.31
Sonitpur,26481,21229.7,0,0,1087,1089.55,603,1693,3838,4185.24,2539,7497.1,1045,878.02,118,58.6,228,1968.26,453,2284,36392,40883.47
South Salmara,23990,20038.04,16,15.92,2000,631.41,865,1861.56,615,369.74,2426,3091.25,699,411.3,90,44.4,886,1131.73,441,719.4,32028,28314.75
Tinsukia,22200,16900.81,425,405.65,1426,885.74,1125,2505.99,3151,5194.85,2511,2712.62,1223,924.18,8892,11643.78,970,1220.65,802,9488.3,42725,51882.57
Udalguri,32525,29738.88,129,101.6,1211,823.42,666,1839.47,1226,1806.82,6282,5823.26,2013,1393.17,289,155.92,1253,1097.16,2774,2029.2,48368,44808.9
West Karbi Anglong,27340,25439.04,320,179.65,450,318.15,195,582.84,2528,5502.02,4801,3832.11,209,156.22,152,72.8,125,265.28,132,320.4,36252,36668.51
