district,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,5,2,12.3,6.85,25,8,126.59,69.53,98,23,364.55,121.67
Barpeta,38,16,95.82,25.09,127,40,251.86,83.04,346,109,1090.79,278.32
Biswanath,14,3,23.82,4.92,47,22,133.59,66.74,133,57,389.87,184.1
Bongaigaon,12,7,42.93,16.42,34,9,172.84,24.01,126,37,516.86,122.38
Cachar,68,17,170.99,43.05,396,63,1248.17,200.34,996,206,2977.91,619.3
Charaideo,6,3,7.6,5.71,15,6,28.62,12.8,69,21,209.85,74.12
Chirang,1,0,0.9,0,11,2,50.08,3.72,67,13,237.3,34.82
Darrang,41,26,96.5,62.86,139,43,316.5,105.45,321,117,902.05,337.79
Dhemaji,16,9,33.39,20.74,48,20,115.93,44.65,151,54,370.1,147.89
Dhubri,15,2,29.18,3.8,62,8,215.73,35.35,192,34,609.87,139.48
Dibrugarh,60,20,224.97,135.1,242,83,943.06,378.68,854,315,2977.62,1136.86
Dima Hasao,1,0,4,0,5,0,13.72,0,23,8,61.66,30.06
Goalpara,7,2,17.14,5.62,40,8,92.34,33.58,120,32,428.03,108.95
Golaghat,38,13,106.01,40.21,120,42,414.96,212.75,315,110,1015.61,391.12
Hailakandi,3,2,9.91,6.02,11,3,25.27,10.49,92,23,200.25,63.77
Hojai,9,5,20.65,6.37,29,10,100.49,22.03,129,34,371.17,85.07
Jorhat,65,25,298.11,117.76,236,101,1254.69,599.88,688,286,2759.42,1196.24
Kamrup Metro,81,26,146.44,58.28,578,125,1934.34,429.21,1149,245,3495.22,789.72
Karbi Anglong,9,4,11.81,3.75,28,10,66.44,20.05,111,38,292.8,107.63
Karimganj,13,6,22.67,8.98,24,8,62.22,13.1,99,29,292.73,75.58
Kokrajhar,9,2,14.6,2.52,24,4,62.67,11.51,91,18,261.59,60.24
Lakhimpur,37,14,70.21,32.06,94,31,239.27,68.75,292,102,781.57,273.16
Majuli,2,1,1,0.42,9,1,17.21,0.42,43,6,84.63,12.98
Morigaon,10,2,36.41,5.19,25,9,81.17,32.68,119,36,355.58,115.65
Nagaon,34,12,136.9,80.34,99,26,277.25,74.89,329,93,1130.97,303.62
Nalbari,30,17,131.83,40.62,114,42,440.3,205.67,297,87,1030.32,374.62
Sivasagar,32,20,113.85,90.25,100,46,339.81,166.54,299,118,851.58,344.72
Sonitpur,63,26,192.41,74.24,145,54,485.54,243.57,403,138,1205.92,483.02
South Salmara,0,0,0,0,3,1,2.6,0,11,2,40.7,9.25
Tinsukia,68,28,192.39,55.71,187,57,652.94,155.83,540,171,1804.75,544.94
Udalguri,38,29,53.33,41.65,114,60,183.95,90.28,210,117,540.48,273.02
West Karbi Anglong,4,1,7.69,3.24,5,1,10.12,3.24,17,5,38.51,14.15
