District,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,9079,6423.57,661,1426.49,86,1590.53,45,815.94,2,129,3,55.14,26,44.6,4,7.35,584,466.23,10490,10958.85
Barpeta,42218,26479.11,1580,7574.38,271,1355.79,256,3176.97,37,334.69,17,118.35,32,81.21,15,33.84,1120,781.88,45546,39936.22
Biswanath,16524,9446.5,764,1498.47,156,2393.52,57,923.47,6,181.51,1,57.82,28,36.04,8,14.9,697,535.95,18241,15088.18
Bongaigaon,31457,18588.46,516,2331.88,179,3512.26,95,1813.02,35,373.36,9,490.04,19,31.94,8,12.98,1147,1865.2,33465,29019.14
Cachar,95554,62798.2,2015,7211.98,531,6244.47,348,4743.79,59,1770.03,40,745.5,39,85.04,22,39.91,453,3161.05,99061,86799.97
Charaideo,4067,2868.14,153,461.33,40,221.27,9,82.69,2,12.84,3,19.54,6,22.5,0,0,5,11.45,4285,3699.76
Chirang,9307,6602.8,724,1143.39,69,2002.6,23,676.81,10,5.01,0,0,27,35.84,19,10.49,403,339.2,10582,10816.14
Darrang,28098,15498.62,1147,3922.42,121,776.8,158,1962.3,9,137.91,4,14.7,21,28.2,8,4.72,345,750.48,29911,23096.15
Dhemaji,11910,7341.51,848,1922.64,112,539.82,75,439.13,9,178.23,10,64.55,56,137.88,6,69.14,173,485.3,13199,11178.2
Dhubri,49328,29947.71,926,2542.75,177,1559.44,93,974.13,1,0.51,0,0,29,53.8,8,31.68,186,135.35,50748,35245.37
Dibrugarh,32122,26909.64,3616,13792.89,549,7435.77,414,10222.31,49,1251.51,12,1366.83,62,124.38,37,73.7,734,6302.7,37595,67479.73
Dima Hasao,541,512.35,365,366.13,27,184.78,10,77.46,2,8.03,5,13.51,6,16.67,5,14.4,39,29.56,1000,1222.89
Goalpara,21189,12695.01,1071,1459.23,101,545.55,47,499.3,7,67.41,15,61.87,12,14.09,28,25.17,338,359.74,22808,15727.37
Golaghat,32537,18389.68,1593,4681.8,354,3148.38,205,2483.69,27,312.04,24,126.07,52,81.43,13,14.02,1003,2390.58,35808,31627.69
Hailakandi,18529,11712.6,579,1317.17,83,553.85,41,257.35,35,132.84,6,15.06,41,58.35,20,26.54,232,377.93,19566,14451.69
Hojai,18697,12896.86,628,2247.01,170,880.68,66,448.37,7,25.13,6,37.42,5,4.13,10,33.01,244,348.79,19833,16921.4
Jorhat,21882,19172.36,1443,6735.31,416,7823.76,266,7244.31,74,3779.12,25,2460.91,13,8.16,12,8.42,430,1906.49,24561,49138.84
Kamrup Metro,63773,40424.15,3546,6515.29,443,5407.79,224,2973.69,47,1923.53,15,497.38,53,120.66,54,65.98,1212,2315.01,69367,60243.48
Karbi Anglong,8635,4497.09,965,798.24,79,709.25,25,232.5,3,61.26,1,20.42,22,33.89,8,19.27,83,131.38,9821,6503.3
Karimganj,46167,27973.18,917,3218.7,232,1239.11,91,818.38,13,194.93,8,52.93,57,117.39,31,62.12,697,693.54,48213,34370.28
Kokrajhar,17070,9523.31,705,2118.03,46,374.14,24,581.71,2,170.91,1,2,109,137.79,7,12.63,267,226.57,18231,13147.09
Lakhimpur,25214,14796.14,1795,5289.17,341,2773.48,165,1753.41,9,48.65,12,81.71,36,73.48,14,8.09,2635,2600.36,30221,27424.49
Majuli,771,533.27,46,74.43,26,166.92,13,70.24,0,0,0,0,0,0,0,0,271,151.3,1127,996.16
Morigaon,13696,9410.6,838,1593.96,160,539.4,66,394.91,9,87.46,11,101.71,32,104.51,17,74.04,143,376.22,14972,12682.81
Nagaon,52246,34733.43,1941,7463.34,559,5274.68,320,6305.03,31,1039.05,22,997.98,35,50.6,31,187.27,350,2022.51,55535,58073.89
Nalbari,24075,13333.98,1088,2314.37,143,1360.76,138,2668.78,10,104.3,4,92.84,60,88.01,15,40.56,515,734.11,26048,20737.71
Sivasagar,18373,15789.46,1236,6274.25,379,4888.41,194,4996.9,22,3076.14,13,1623.17,40,130.4,7,5.05,524,902.77,20788,37686.55
Sonitpur,32550,26993.83,2129,6247.41,372,6355.75,165,2618.18,54,1586.83,18,346.9,84,192.68,108,283.78,306,2510.8,35786,47136.16
South Salmara,291,519.45,13,27.55,1,10.5,1,3.5,0,0,0,0,9,7.78,0,0,0,0,315,568.78
Tinsukia,26125,23245.11,2605,10186.9,422,7065.62,402,6686.89,59,2617.84,16,13817.31,25,13.12,27,25.23,640,7079.64,30321,70737.66
Udalguri,7586,4551.69,747,1248.11,30,148.99,48,479.64,4,29.12,6,43.21,14,12.24,11,13.92,140,204.4,8586,6731.32
West Karbi Anglong,527,267.56,294,125.25,5,30.73,1,7.81,0,0,0,0,0,0,0,0,2,0.7,829,432.05
