district,Savings Linked No,Savings Linked Amount,Credit Linked No,Credit Linked Amount,CY Savings Linked No,CY Savings Linked Amount,CY Credit Linked No,CY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.
Baksa,1295,102.36,758,727.75,1880,115.84,1700,2257.07,19871,17880.35
Barpeta,972,92.22,725,838.71,1559,132.11,2028,3396.06,4581,4176.94
Biswanath,1357,178.64,505,552.89,3303,407.19,2456,3035.79,5345,4551.53
Bongaigaon,1119,65.16,498,707.22,1451,80.9,1237,1995.96,1836,1946.57
Cachar,923,51.65,1009,1085.91,1868,114.85,1912,2243.73,2441,1685.05
Charaideo,280,21.12,387,554.11,370,29.98,902,1556.23,1836,1651.7
Chirang,1307,61.79,386,500.61,2037,88.83,1435,1690.06,2526,2499.16
Darrang,1031,70.01,547,528.63,1581,84.64,1447,2405.31,3456,3310.49
Dhemaji,1337,98.9,581,646.39,1874,122.73,1863,2342.67,3174,2605.03
Dhubri,3624,429.71,492,566.56,4463,468.06,2344,3216.64,3852,2655.68
Dibrugarh,1850,182.68,1094,1297.77,6946,537.84,3271,3817.05,4162,3859.99
Dima Hasao,231,15,163,126.61,306,21.74,397,462.92,589,536.95
Goalpara,806,97.2,872,793.26,1458,124.76,2325,3202.28,3793,3078.81
Golaghat,1364,106.83,962,1118.15,2375,285.19,2778,4208.79,4232,4845.94
Hailakandi,702,86.45,385,386.33,1077,130.97,718,691.26,1458,960.06
Hojai,519,15.48,646,695.56,857,38.94,1217,1432.94,1365,1361.1
Jorhat,886,98.46,798,1002.72,1324,155.05,2075,3058.33,3309,3953.54
Kamrup Metro,995,52.3,1202,1217.39,3499,227.1,3664,4458.71,5531,5266.79
Karbi Anglong,290,16.35,410,351.88,564,22.68,1145,1579.97,3061,2073.25
Karimganj,607,25.59,508,435.98,1117,42.41,1019,1125.96,2210,1342.74
Kokrajhar,1544,69.38,285,293.26,2102,84.11,1218,1790.18,2340,2065.42
Lakhimpur,1625,145.44,808,915.79,3313,246.67,2555,4008.18,4170,4443.56
Majuli,63,2.59,152,235.68,144,3.66,385,898.77,858,757.23
Morigaon,636,29.11,539,561.63,1418,71.97,1615,1447.99,3649,2981.2
Nagaon,3776,140.61,1602,1739.1,4919,224.5,3800,5048.39,5654,5659.41
Nalbari,621,71.14,515,766.97,1189,107.52,2380,4433.77,5690,5797.45
Sivasagar,698,102.04,678,942.44,984,163.75,1942,3029.76,2823,2887.96
Sonitpur,1689,319.58,705,718.56,2120,376.93,2642,3898.86,5353,4887.35
South Salmara,147,2.33,52,114.61,220,3.2,297,403.06,397,280.78
Tinsukia,943,69.73,1025,1023.92,1695,115.43,2242,2958.22,3287,3150.24
Udalguri,1459,121.96,365,426.4,1650,124.28,1131,1653.92,2856,2722.3
West Karbi Anglong,323,20.69,165,143.17,396,22.06,412,556.25,2151,1091.99
