district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,0,0,15,47.01,255,757.34,0,0,89,30.95,203,110.18,562,945.48
Barpeta,0,0,35,103.15,266,1569.69,0,0,529,262.96,913,344.58,1743,2280.38
Biswanath,0,0,29,71.09,95,342.84,0,0,0,0,1458,750.39,1582,1164.32
Bongaigaon,0,0,9,53.47,146,1392.43,68,494.77,125,60.34,83,237.73,431,2238.74
Cachar,0,0,71,186.74,206,1217.78,0,0,12,5.07,399,474.59,688,1884.18
Charaideo,0,0,10,46.94,21,156.71,0,0,72,27.54,102,375,205,606.19
Chirang,0,0,13,31.91,35,40.73,1,0.51,154,86.5,73,65.35,276,225
Darrang,0,0,21,56.19,188,741.23,1,0.11,59,30.47,619,445.45,888,1273.45
Dhemaji,0,0,27,63.26,115,682.96,0,0,25,8.37,126,96.49,293,851.08
Dhubri,0,0,23,62.38,156,785.65,0,0,233,129.16,762,621.06,1174,1598.25
Dibrugarh,0,0,134,338.89,581,5570.61,2505,325.2,23,8.46,1401,1262.88,4644,7506.04
Dima Hasao,0,0,0,0,30,116.85,0,0,0,0,5,11,35,127.85
Goalpara,0,0,15,45.32,86,241.06,1,0.06,494,325.09,192,233.33,788,844.86
Golaghat,0,0,45,102.23,173,1482.25,228,49.11,8,2.03,744,319.56,1198,1955.18
Hailakandi,0,0,14,30.71,59,260.93,0,0,26,13.46,104,104.95,203,410.05
Hojai,0,0,13,29.44,37,243.38,0,0,0,0,425,1620.16,475,1892.98
Jorhat,0,0,55,137.52,377,2149.94,1119,131.18,0,0,4577,1163.04,6128,3581.68
KARIMGANJ,0,0,12,30.85,91,451.18,0,0,11,2.94,60,701.03,174,1186
Kamrup,0,0,58,112.7,294,1583.57,98,16.75,23,10.32,1519,425.98,1992,2149.32
Kamrup Metro,0,0,309,1219.87,1026,14092.3,14,195.36,1,0.05,4917,1593.98,6267,17101.56
Karbi Anglong,0,0,17,38.6,46,180.32,0,0,1,0.08,274,127.14,338,346.14
Kokrajhar,0,0,14,33.13,74,437.75,0,0,58,41.53,249,214.32,395,726.73
Lakhimpur,0,0,52,154.04,238,1356.77,23,18.31,117,48.68,1282,1721.09,1712,3298.89
Majuli,0,0,4,7.69,21,86.43,0,0,0,0,367,812.42,392,906.54
Morigaon,0,0,17,48.23,229,1099.53,0,0,30,12.42,210,1674.17,486,2834.35
Nagaon,0,0,48,131.76,337,1925.9,73,19.89,3,2.14,2164,1299.97,2625,3379.66
Nalbari,0,0,45,108.5,445,1896.77,9,0.93,6,3.39,406,442.86,911,2452.45
Sivasagar,0,0,36,76.83,212,1326.32,803,99.16,20,7.89,1632,845.44,2703,2355.64
Sonitpur,0,0,65,127.34,360,1489.51,440,41.77,4,1.38,2431,2544.4,3300,4204.4
South Salmara,0,0,8,34.54,18,41.23,0,0,9,6.5,131,240.05,166,322.32
Tinsukia,0,0,62,133,280,2713.29,486,62.83,28,7.37,761,737.14,1617,3653.63
Udalguri,0,0,30,80.16,51,125.21,0,0,0,0,2220,1207.25,2301,1412.62
West Karbi Anglong,0,0,0,0,19,59.76,0,0,11,0.92,2,3.61,32,64.29
