District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Baksa,26911,18443.35,181,2811.27,45,196.71,792,424.29,27929,21875.62
Barpeta,88119,61609.11,1132,9404.81,65,1373.58,1473,750.35,90789,73137.85
Biswanath,39055,22908.82,289,4309.41,24,1619.11,1214,614.25,40582,29451.59
Bongaigaon,54084,35501.92,1153,13687.6,108,2801.41,1321,667.22,56666,52658.15
Cachar,177856,125117.66,1874,22354.84,258,6903.72,536,406.72,180524,154782.94
Charaideo,11192,10305.63,93,1355.76,3,45.7,112,31.56,11400,11738.65
Chirang,21410,14806.54,109,2520.37,11,62.51,429,319.38,21959,17708.8
Darrang,59395,36834.44,419,4533.94,23,377.98,248,79.69,60085,41826.05
Dhemaji,31954,17681.6,344,4202.32,11,797.33,605,260.56,32914,22941.81
Dhubri,83391,49658.4,391,3439.48,31,7675.13,334,198.97,84147,60971.98
Dibrugarh,85630,101946.79,2384,51211.11,221,8980.29,1630,1397.48,89865,163535.67
Dima Hasao,1568,2700.35,167,618.21,2,0.25,88,31.66,1825,3350.47
Goalpara,47789,27927.94,312,2758.89,12,304.26,663,342.33,48776,31333.42
Golaghat,63888,38826.41,1085,16303.8,59,881.72,1449,738.95,66481,56750.88
Hailakandi,30167,18476.89,375,3531.82,32,116.4,367,229.09,30941,22354.2
Hojai,40263,26624.25,418,2678.4,8,97.82,385,364.22,41074,29764.69
Jorhat,59957,65219.44,1368,38516.27,201,12346.33,925,632.24,62451,116714.28
Kamrup Metro,154811,93568.59,1470,15608.68,352,10775.22,1806,1134.47,158439,121086.96
Karbi Anglong,17297,8989.46,181,1427.75,32,345.59,148,97.37,17658,10860.17
Karimganj,78984,50638.31,514,4793.44,21,894.17,874,537.7,80393,56863.62
Kokrajhar,29523,20748.75,107,1062.07,22,438.53,362,280.47,30014,22529.82
Lakhimpur,67657,43741.34,964,11876.7,21,537.54,3472,1903.9,72114,58059.48
Majuli,3671,4227.96,53,684.07,0,0,273,120.97,3997,5033
Morigaon,31419,25519.16,475,2994.55,10,197.22,380,1064.11,32284,29775.04
Nagaon,107636,78862.4,1714,20233.02,48,3119.17,852,362.43,110250,102577.02
Nalbari,61997,34442.05,650,5395.88,24,362.9,804,508.15,63475,40708.98
Sivasagar,46349,42180.95,1351,19046.08,36,4880.9,1268,596.37,49004,66704.3
Sonitpur,76090,71068.1,1889,21771.57,135,5246.26,814,4536.34,78928,102622.27
South Salmara,1502,2479.58,1,9.05,0,0,31,104,1534,2592.63
Tinsukia,61798,68938.67,2066,31403.7,98,11516.92,764,516.03,64726,112375.32
Udalguri,20953,15445.89,147,641.72,1,1.94,369,446.39,21470,16535.94
West Karbi Anglong,1444,604.16,8,54.33,0,0,3,23.84,1455,682.33
