District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Minority Disb No.,Total Minority Disb Amt
Baksa,77,149.37,9305.6,10,22.45,4,11.41,0,0,9,7.73,11551,9496.56
Barpeta,77,131.37,27146.78,37,14.94,7,40.82,1,0.9,1,1.72,43869,27336.53
Biswanath,264,252.11,4036.78,14,30.5,16,47.63,0,0,11,34.58,6701,4401.6
Bongaigaon,497,406.27,11472.12,288,176.9,13,20.46,1,0.02,9,22.73,18247,12098.5
Cachar,1412,1880,39835.91,32,82.28,28,76.59,1,0.5,14,71.57,59910,41946.85
Charaideo,90,93.93,685.26,34,25.77,6,6.18,2,0.18,5,1.42,929,812.74
Chirang,601,299.82,4027.02,39,30.03,2,2.91,0,0,0,0,5938,4359.78
Darrang,65,106.62,18722.52,48,70.93,2,16.28,0,0,10,28.64,33680,18944.99
Dhemaji,67,81.8,292.92,6,8.23,3,6.73,0,0,1,0.55,478,390.23
Dhubri,138,88.27,40393.37,11,5.73,4,0.61,1,0.4,11,15.29,61972,40503.67
Dibrugarh,508,978.46,6435.46,156,500.72,141,628.59,2,4.63,23,160.44,7192,8708.3
Dima Hasao,1720,2410.96,465.36,1,0.02,3,13.87,0,0,0,0,1982,2890.21
Goalpara,2645,1276.18,14306.67,11,7.7,2,1.35,0,0,7,46.49,22703,15638.39
Golaghat,611,332.08,5294.88,197,160.22,28,57.03,2,0.84,8,41.5,9294,5886.55
Hailakandi,77,96.05,10788.92,3,0.93,1,1.54,0,0,0,0,17571,10887.44
Hojai,168,186.31,9008.47,11,18.03,16,8.66,0,0,0,0,16603,9221.47
Jorhat,512,555.61,5545.24,275,361.45,52,1111.54,1,0,16,287.96,5472,7861.8
Kamrup Metro,601,598.45,25051.69,199,120.35,26,78.59,0,0.04,10,98.2,39705,25947.32
Karbi Anglong,1810,1603.79,577.84,51,91.68,7,10.88,1,0.3,3,2.85,2361,2287.34
Karimganj,699,416.66,16727.27,18,28.82,9,25.44,0,0,3,1.07,27226,17199.26
Kokrajhar,1729,1456.74,7199.64,4,1.88,5,4.05,1,10,1,0,14113,8672.31
Lakhimpur,581,423.52,7181.37,22,51.8,15,8.94,6,4.18,2,6,12986,7675.81
Majuli,3,0.22,54.99,0,0,0,0,0,0,0,0,26,55.21
Morigaon,52,88.02,8896.28,13,53.45,1,1.56,0,0,3,4.96,15732,9044.27
Nagaon,510,377.54,41909.4,58,32.68,74,95.45,19,7.75,13,8.06,81792,42430.88
Nalbari,26,18.57,11801.46,11,10.22,17,10.1,1,0.02,5,25.43,17576,11865.8
Sivasagar,183,153.24,11831.04,131,122.26,26,37.23,1,2.6,7,34.38,9934,12180.75
Sonitpur,653,1591.6,10962.01,111,386.71,29,63.68,1,0.09,2,2.97,19552,13007.06
South Salmara,2,1.24,1124.34,0,0,0,0,0,0,0,0,1228,1125.58
Tinsukia,698,2234.67,2982.07,255,616.25,88,427.83,2,0.92,17,353.73,4610,6615.47
Udalguri,3459,2153.91,3583.22,5,1.42,1,0.04,0,0,1,0.5,7018,5739.09
West Karbi Anglong,167,331.14,51.17,0,0,0,0,1,0.42,0,0,206,382.73
