district,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,5090,3868.04,217,591.17,17,163.55,692,859.32,158,16.08,6174,5498.16
Barpeta,18005,10517.01,752,3092.28,51,233.66,323,508.02,123,14.37,19254,14365.34
Biswanath,9999,4089.96,846,1262.87,35,95.19,109,162.94,167,13.54,11156,5624.5
Bongaigaon,6051,3173.55,308,1309.8,20,365.95,362,533.02,53,4.09,6794,5386.41
Cachar,18735,11684.85,557,3120.48,50,1004,269,484.89,28,13.77,19639,16307.99
Charaideo,3231,2060.84,21,259.36,0,0,96,204.35,80,5.1,3428,2529.65
Chirang,3135,2214.75,260,536.58,23,22.18,836,945.32,13,2.9,4267,3721.73
Darrang,13671,7061.59,479,1020.1,10,68.03,488,727.8,134,48.48,14782,8926
Dhemaji,6398,3457.04,901,2150.34,73,412.32,195,297.39,137,12.08,7704,6329.17
Dhubri,21141,9769.97,631,1306.83,25,108.61,476,549.21,159,11.7,22432,11746.32
Dibrugarh,19978,12441.03,3124,12125.83,336,9486.92,327,2238.96,330,41.56,24095,36334.3
Dima Hasao,120,134.34,7,14,0,0,2,4.1,0,0,129,152.44
Goalpara,8076,5350.06,108,392.93,2,0.4,420,484.87,66,8.89,8672,6237.15
Golaghat,14391,6081.47,1670,3921.64,97,1005.58,236,325.18,121,14.99,16515,11348.86
Hailakandi,3719,2237.54,223,893.92,9,24.24,243,322.53,35,4.45,4229,3482.68
Hojai,8073,3644.22,517,1055.45,30,163.14,16,30.68,51,3.13,8687,4896.62
Jorhat,15540,8917.28,892,4993.23,68,1547.77,203,1586.97,99,22.35,16802,17067.6
Kamrup Metro,24197,12247.67,1569,3558.27,81,634.17,591,984.35,171,20.5,26609,17444.96
Karbi Anglong,648,786.84,7,26.45,0,0,104,7.28,6,0.31,765,820.88
Karimganj,11093,5375.04,428,1958.32,31,354.85,118,199.24,45,4.15,11715,7891.6
Kokrajhar,6472,4595.82,573,1292.63,34,295.88,961,1103.35,0,0,8040,7287.68
Lakhimpur,15926,8432.75,1806,4407.04,124,453.53,158,257.57,145,17.12,18159,13568.01
Majuli,882,623.47,3,49,0,0,32,34.31,3,0.78,920,707.56
Morigaon,8890,4967.91,291,578.43,21,59.51,273,383.66,104,7.9,9579,5997.41
Nagaon,31100,17487.17,776,3108.12,112,1110.99,450,1146.33,348,32.07,32786,22884.68
Nalbari,13950,7094.57,353,733.68,34,575.32,575,812.9,177,20.02,15089,9236.49
Sivasagar,13332,6396.67,921,4604.37,150,3854.52,199,4406.4,311,28.2,14913,19290.16
Sonitpur,15333,8898.15,936,3275.73,48,323.43,428,726.68,153,15.86,16898,13239.85
South Salmara,725,1038.18,0,0,0,0,185,305.85,0,0,910,1344.03
Tinsukia,12785,6690.03,1023,4404.87,118,2734.36,264,228.09,191,74.12,14381,14131.47
Udalguri,5011,5876.06,3,51.02,0,0,646,1074,29,5.82,5689,7006.9
West Karbi Anglong,209,91.95,1,0.75,0,0,1,0.06,0,0,211,92.76
