District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,504543,94540,232592,370948,603540,47587,17122.44,450331,300266,15389
Barpeta,877853,187229,497856,663313,1161169,152931,76928.4,692392,520259,34682
Biswanath,237146,39049,119903,185460,305363,24157,11417.63,136409,93122,9859
Bongaigaon,225231,128717,145535,215447,360982,30397,13311.65,289211,201754,9822
Cachar,670961,267493,432346,505330,937676,68252,49252.43,596934,464227,29746
Charaideo,162492,59139,102856,151966,254822,26189,10413.17,146481,94753,3006
Chirang,289386,13985,139717,212018,351735,40718,9044.98,251351,174728,11210
Darrang,469856,200089,327258,465728,792986,114307,28769.47,417011,273305,19265
Dhemaji,463594,111616,253159,333970,587129,32952,16656.81,405503,304590,19685
Dhubri,893084,255982,562845,784550,1347395,182412,38036.31,752797,558578,26944
Dibrugarh,372495,174872,238803,337826,576629,75090,34761.3,438192,303967,33542
Dima Hasao,30907,11673,18023,24555,42578,901,1994.2,27755,19974,2659
Goalpara,367807,189867,226101,347027,573128,56166,13614.56,350653,235793,16402
Golaghat,458404,94399,233008,340316,573324,43144,27076.06,348168,245912,26108
Hailakandi,281708,120668,189643,232040,421683,42874,27714.33,252421,183232,16670
Hojai,280429,251408,239368,313562,552930,47537,29904.61,402208,295504,41232
Jorhat,251094,192350,187543,256533,444076,37561,32389.83,306244,238061,16843
Kamrup Metro,706949,89487,353630,493522,847152,119849,31287.35,649850,404174,40716
Karbi Anglong,111544,34865,60983,85409,146392,8183,4389.42,83014,54590,9348
Karimganj,542319,65427,280914,333633,614547,55069,31894.38,355116,274385,20558
Kokrajhar,400457,132165,228675,308277,536952,66592,18760.73,314555,228714,13898
Lakhimpur,489139,214433,320056,417824,737880,34088,29245.7,517143,399783,18140
Majuli,113075,16432,56778,72714,129492,11483,4889.83,65683,57342,2887
Morigaon,409686,219641,278546,366290,644836,35873,41195.02,449032,301456,26472
Nagaon,1121849,303428,624138,830542,1454680,147266,51459.45,877793,583884,178637
Nalbari,316975,91648,172261,251410,423671,52182,18927.76,242256,156675,19760
Sivasagar,256743,67096,141727,193434,335161,20537,21630.53,262575,186106,9508
Sonitpur,445062,183473,275767,415255,691022,84268,24360.47,455566,328741,51682
South Salmara,81533,20505,52083,88636,140719,24757,1522.34,34351,25115,7233
Tinsukia,401998,224703,274114,364301,638415,70570,61614.3,421906,342030,25973
Udalguri,467898,102707,241348,349881,591229,86083,13211.91,353641,261577,12715
West Karbi Anglong,72162,0,28512,43639,72151,3089,4303.66,36002,24917,5304
