district,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,6948,4728.39,0,0,0,0,45,19.94,15,18.4,1372,897.27,265,204.19,6454,2350.56,65,29.2,2200,3114.02,17364,11361.97
Barpeta,8395,4781.6,0,0,0,0,257,285.16,70,170.15,742,711.65,294,231.23,22702,9606.26,326,251.3,2921,3994.99,35707,20032.34
Biswanath,3723,3348.81,0,0,2,1,63,73.64,33,65.72,654,612.78,64,30.38,11088,4499.72,257,196.37,2355,5029.09,18239,13857.51
Bongaigaon,2933,2300.56,0,0,1,0.1,51,53.21,30,73.91,258,376.8,104,97.35,8378,3913.68,268,167.7,1188,1781.77,13211,8765.08
Cachar,6116,4384.8,0,0,1,0.07,253,212.4,120,332.92,302,253.33,182,121.94,27939,13358.38,447,877.53,3437,4309.43,38797,23850.8
Charaideo,630,474.65,0,0,0,0,41,46.91,6,35.41,259,203.19,57,41.37,4919,2474.11,61,39.57,1122,1549.51,7095,4864.72
Chirang,2990,2019.57,0,0,0,0,13,13.23,5,24.79,339,193.46,12,50.61,5664,2906.36,426,190.31,1070,1747.84,10519,7146.17
Darrang,4990,3451.16,0,0,0,0,83,75.25,65,182.37,578,786.94,359,210.07,16926,7618.35,165,134.67,1496,3385.48,24662,15844.29
Dhemaji,3578,3087.69,0,0,0,0,106,67.13,29,63.36,975,705.1,41,41.74,4321,1300.98,53,46.25,2221,2374.53,11324,7686.78
Dhubri,4921,3692.14,0,0,0,0,83,106.29,41,131.39,543,403.68,29,156.52,18335,8798.78,3598,2364.52,2105,1920.53,29655,17573.85
Dibrugarh,13217,9949.91,0,0,8,7.31,109,97.98,43,134.15,963,611.95,143,112.92,26440,13229.84,149,102.56,2684,6387.7,43756,30634.32
Dima Hasao,400,195.08,0,0,0,0,10,11.11,11,16.01,84,98.24,0,0,246,168.75,12,10.26,939,2133.15,1702,2632.6
Goalpara,3386,2132.07,0,0,0,0,61,74.18,34,98.95,1291,809.24,408,257.55,13240,6417.47,226,125.36,1714,2048.47,20360,11963.29
Golaghat,6817,5553.81,0,0,0,0,127,151.78,45,165.62,683,676.08,89,100.05,33824,14572.01,1270,703.05,2708,7163.41,45563,29085.81
Hailakandi,3996,1479.04,0,0,1,0.5,45,63.29,56,123.53,173,215.15,17,23.31,4407,1872.76,53,55.41,677,1516.86,9425,5349.85
Hojai,2754,1909.72,0,0,0,0,100,77.11,43,128.4,156,143.25,30,113.67,13423,7393.56,2412,1771.89,2311,2035.68,21229,13573.28
Jorhat,5282,3613.04,0,0,0,0,83,93.15,44,112.95,881,756.48,111,96.93,24196,10550.66,1250,742.69,1916,11604.05,33763,27569.95
KARIMGANJ,1866,1128.72,0,0,0,0,158,171.44,73,200.83,191,221.75,18,85.1,18675,9710.33,224,165.97,2289,2170.82,23494,13854.96
Kamrup,9272,5956.45,0,0,0,0,216,206.22,156,275.69,1917,1334.58,430,303.99,30791,13946.04,456,360.37,3280,5415.47,46518,27798.81
Kamrup Metro,2859,5269.24,7,34.77,4,6.13,143,198.46,102,656.71,1999,1630.69,382,353.32,10807,7742.79,125,1053.8,3436,24472.78,19864,41418.69
Karbi Anglong,6359,4340.92,0,0,0,0,10,9.36,5,11.71,1381,758.08,79,32.16,2756,828.33,8,6.75,3937,5882.67,14535,11869.98
Kokrajhar,3084,2985.95,0,0,0,0,19,8.4,9,18.72,370,157.33,50,31.8,5116,1468.66,2988,2033.7,1000,1261.14,12636,7965.7
Lakhimpur,8486,6329.06,0,0,0,0,178,148.11,77,202.73,1472,1360.7,559,389.08,16758,5544.18,207,156.1,4151,4694.75,31888,18824.71
Majuli,866,484.7,0,0,0,0,15,14.94,9,36.02,168,94.19,73,46.26,694,65.16,9,11.26,364,567.87,2198,1320.4
Morigaon,4529,2664.22,0,0,0,0,143,125.78,56,104.18,781,488.8,96,74.13,21840,11294.24,1189,794.21,2168,1910.48,30802,17456.04
Nagaon,11780,8520.52,0,0,1,5,280,383.17,134,716.47,901,758.17,359,657.17,53115,25980.09,1998,1781.49,5638,7144.77,74206,45946.85
Nalbari,3771,2533.02,0,0,1,1,69,103.26,106,113.44,706,661.63,261,148.76,16521,6539.18,90,72.97,1890,3977.63,23415,14150.89
Sivasagar,3723,3201.37,0,0,1,2,99,99.75,51,142.38,920,598.53,137,218.09,24123,10616.62,106,80.12,2478,4672.16,31638,19631.02
Sonitpur,7025,6361.35,0,0,0,0,100,147.88,67,200.96,1014,1208.87,150,268.73,26626,12354.56,565,317.81,2511,5195.56,38058,26055.72
South Salmara,178,71.45,0,0,0,0,0,0,0,0,1,1.95,9,41.27,121,19.05,0,0,100,258.89,409,392.61
