District,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Baksa,0,0,26,44.6,482,1944.92,2,26.19,0,0,5,4.18,515,2019.89,16753,8242.07
Barpeta,0,0,114,159.69,1036,4629.71,311,484.56,23,23.05,216,127.18,1700,5424.19,65495,32882.47
Biswanath,0,0,54,89.62,896,1385.01,1,30.55,14,15.05,1,0.38,966,1520.61,31584,13908.08
Bongaigaon,0,0,42,190.31,845,3751.55,1020,933.34,5,6.17,1140,427.01,3052,5308.38,29304,14306.93
Cachar,0,0,411,474.48,1947,4985.17,37,9.36,2,0.98,18,40.49,2415,5510.48,110340,50958.59
Charaideo,0,0,16,21.43,103,558.81,53,12.98,4,4.45,0,0,176,597.67,8032,3419.89
Chirang,0,0,13,10.54,266,1303.64,59,15.09,2,0,0,0,340,1329.27,14374,7508.95
Darrang,0,0,105,149.62,492,2247.52,419,136.1,1,1.5,8,11.57,1025,2546.31,44836,20874.92
Dhemaji,0,0,57,80.77,528,2036.16,124,35.03,6,5.7,2,0.18,717,2157.84,19229,9402.92
Dhubri,0,0,65,94.72,758,2827.6,0,0,6,3.21,3,0.76,832,2926.29,70333,34911.01
Dibrugarh,0,0,300,588.44,1240,8723.86,96,49.94,14,16.91,36,51.84,1686,9430.99,55299,31429.62
Dima Hasao,0,0,6,4.88,146,450.92,0,0,0,0,4,4.83,156,460.63,175,344.11
Goalpara,0,0,28,44.09,335,1327.47,0,0,2,1.43,0,0,365,1372.99,32117,16347.49
Golaghat,0,0,136,231.99,789,3265.65,44,105.4,19,23.06,1020,429.91,2008,4056.01,55296,27521.58
Hailakandi,0,0,20,31.14,433,611.93,0,0,4,4,3,9.55,460,656.62,20978,10219.84
Hojai,0,0,34,62.59,261,892.19,1,0.26,1,1.5,2,0.54,299,957.08,32215,16683.14
Jorhat,0,0,245,471.47,1211,5366.24,7,184.25,1,0.75,2295,930.78,3759,6953.49,48484,24355.3
Kamrup Metro,0,0,564,645.49,1621,6095.99,5257,1579.61,0,0,5283,2162.71,12725,10483.8,95620,46366.02
Karbi Anglong,0,0,26,25.01,867,5150.03,1,0.32,0,0,12,28.97,906,5204.33,14252,6061.38
Karimganj,0,0,36,63.15,293,842.59,0,0,0,0,3,3.47,332,909.21,58107,25027.75
Kokrajhar,0,0,23,32.89,337,1876.1,15,9.98,7,5.51,1,1.94,383,1926.42,24946,12191.35
Lakhimpur,0,0,128,218.77,1241,5189.91,102,42.02,20,28.58,2,0.26,1493,5479.54,50282,21858.75
Majuli,0,0,9,4.09,53,190.38,340,111.14,0,0,0,0,402,305.61,1873,1082.89
Morigaon,0,0,31,72.95,280,1334.89,3,2.99,1,1.5,8,7.93,323,1420.26,36568,18500.53
Nagaon,0,0,93,181.29,1247,5238.09,369,131.8,6,5.26,2713,1096.4,4428,6652.84,103332,49381.08
Nalbari,0,0,116,187.48,1286,3966.21,377,114.89,1,1.5,765,290.56,2545,4560.64,40046,17731.54
Sivasagar,0,0,114,228.56,834,3867.09,2,11.24,6,7,1144,422.71,2100,4536.6,40382,23252.05
Sonitpur,0,0,148,291.52,1031,4700.31,731,261.12,16,21.14,1209,504.33,3135,5778.42,55425,27078.74
South Salmara,0,0,4,1.87,59,254.19,0,0,0,0,0,0,63,256.06,389,460.73
Tinsukia,0,0,199,367.32,982,5742.61,640,172.7,19,24.39,19,28.98,1859,6336,35909,21465.6
Udalguri,0,0,100,112.5,615,2507.97,20,5.2,0,0,0,0,735,2625.67,15650,6263.14
West Karbi Anglong,0,0,6,7.04,302,1493.56,0,0,0,0,0,0,308,1500.6,683,302.74
