District,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt
Baksa,1990,470.32,807,243.81,1804,3063.83,527,678.56,133,777.05,16,78.77,3927,4311.2,1350,1001.14
Barpeta,22512,4606.71,1680,559.35,11917,12671.73,1117,1685.63,891,3800.78,56,297.21,35320,21079.22,2853,2542.19
Biswanath,3599,973.98,718,239.18,3529,3354.93,343,334.61,168,812.59,19,82,7296,5141.5,1080,655.79
Bongaigaon,9255,1909.6,680,192.99,5173,4560.14,341,298.72,530,2422.98,40,225.27,14958,8892.72,1061,716.98
Cachar,32620,9598.73,2263,461.69,18319,25128.76,937,966.19,793,3978.97,23,111.54,51732,38706.46,3223,1539.42
Charaideo,2074,548.26,455,168.03,1729,1883.18,184,257.73,141,911.48,7,22.83,3944,3342.92,646,448.59
Chirang,2670,637.29,420,127.54,2719,2825.02,476,625.17,96,494.17,13,59.56,5485,3956.48,909,812.27
Darrang,7626,1731.07,1031,316.55,6208,6790.3,888,1144.3,728,2484.63,58,272.22,14562,11006,1977,1733.07
Dhemaji,5122,1096.12,532,164.42,3987,4255.59,320,523.25,383,2116.25,42,232.74,9492,7467.96,894,920.41
Dhubri,16575,3949.17,1827,596.72,12096,11028.07,1329,1348.2,642,2879.26,45,246.26,29313,17856.5,3201,2191.18
Dibrugarh,17381,3185.37,3603,647.23,10178,11889.07,810,1127.22,1598,7609.59,97,439.34,29157,22684.03,4510,2213.79
Dima Hasao,668,129.68,58,20.14,1008,1762.09,57,61.37,546,2428.22,1,1.02,2222,4319.99,116,82.53
Goalpara,10960,2059.54,874,197.96,3942,3582.52,395,391.46,164,828.5,16,63.34,15066,6470.56,1285,652.76
Golaghat,25064,4707.9,1175,301.08,8649,8765.14,542,605.86,716,4982.79,75,404.91,34429,18455.83,1792,1311.85
Hailakandi,5874,1196.27,354,99.14,4529,5151.7,333,374.46,249,1428.69,17,72.01,10652,7776.66,704,545.61
Hojai,6666,1877.54,613,191.65,5388,7525.68,467,592.55,564,3553.72,55,330.39,12618,12956.94,1135,1114.59
Jorhat,38776,6922.14,1234,312.51,9158,10008.83,550,711.5,1045,5575.46,74,383.28,48979,22506.43,1858,1407.29
Kamrup Metro,52815,9337.26,1909,433.27,20029,17572.6,1117,1343,999,4609.38,82,417.88,73843,31519.24,3108,2194.15
Karbi Anglong,2611,501.02,155,42.01,1531,2330.8,154,221.64,1336,6027.24,20,80.22,5478,8859.06,329,343.87
Karimganj,19702,3949.32,1829,344.66,9527,9140.87,629,635.7,430,2693.3,13,73.39,29659,15783.49,2471,1053.75
Kokrajhar,1894,479.37,479,154.7,1519,2087.85,504,619.42,107,607.88,5,16.9,3520,3175.1,988,791.02
Lakhimpur,4936,1354.32,1021,309.34,6268,6750.75,920,1173.22,544,2559.14,67,316.49,11748,10664.21,2008,1799.05
Majuli,537,177.6,150,63.67,425,611.01,72,79.98,53,336.38,5,25.59,1015,1124.99,227,169.24
Morigaon,7542,1621.53,1036,263.73,6428,7808.88,754,865.64,620,3902.13,69,352.24,14590,13332.54,1859,1481.61
Nagaon,33819,6228.51,1642,451.49,11963,13210.06,1814,2116.04,1255,6963.4,365,1838.26,47037,26401.97,3821,4405.79
Nalbari,19233,3461.74,1207,293.4,6021,6248.95,726,747.11,262,1575.26,27,139.72,25516,11285.95,1960,1180.23
Sivasagar,6447,1564.11,976,293.04,6406,6343.29,453,490.57,638,3407.65,31,169.77,13491,11315.05,1460,953.38
Sonitpur,20735,4229.68,1011,292.7,10087,10466,689,836.94,837,4433.19,70,341.36,31659,19128.87,1770,1471
South Salmara,190,44.96,33,11.07,299,385.98,76,107.22,26,168.43,3,25.99,515,599.37,112,144.28
Tinsukia,8669,2107.53,898,230.87,10020,10795.54,711,863.48,1082,5982.89,45,264.61,19771,18885.96,1654,1358.96
Udalguri,1748,459.36,731,238.48,2054,2518.18,804,790.4,97,560.96,8,37.96,3899,3538.5,1543,1066.84
West Karbi Anglong,367,60.55,83,19.9,200,349.04,21,22.96,333,1395.86,2,2.9,900,1805.45,106,45.76
