district,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
Baksa,184,287.73,,20124.89,24,45.01,5,16.08,0,0,27,38.25,18942,20511.96
Barpeta,145,258.22,,75565.41,40,37.05,10,50.87,3,3.58,11,9.66,108764,75924.79
Biswanath,579,535.81,,10591.21,23,35.59,18,82.75,4,2.97,13,137.77,17715,11386.1
Bongaigaon,1983,1092.12,,29539.28,314,188.69,23,58.31,1,1.29,15,69.89,46011,30949.58
Cachar,2370,3619.95,,91144.61,47,101.61,30,84.61,3,0.8,28,164.81,124114,95116.39
Charaideo,179,128.72,,1484.86,74,84.79,14,25.3,3,5.84,7,1.5,3271,1731.01
Chirang,3380,2385.49,,8875.11,99,53.75,2,1.84,4,4.72,4,2.37,16017,11323.28
Darrang,301,396.86,,49708.1,62,100.3,5,32.15,1,0.19,18,67.99,79505,50305.59
Dhemaji,125,137.94,,911.41,9,11.81,15,27.54,0,0,2,5.93,1656,1094.63
Dhubri,589,638.1,,86650.79,20,13.98,13,36.13,2,1.17,18,130.54,114840,87470.71
Dibrugarh,1815,2795.27,,16294.74,194,702.18,265,1239.79,5,2.06,44,431.62,19020,21465.66
Dima Hasao,2017,5300.01,,1043.9,3,6.55,5,16.57,0,0,0,0,2633,6367.03
Goalpara,6719,3838.9,,37057.74,28,14.93,7,13.87,13,4.49,14,60.93,55537,40990.86
Golaghat,2194,1283.18,,13049.29,307,262.97,71,138.45,6,3.9,23,70.4,26675,14808.19
Hailakandi,222,310.53,,30793.18,4,8.32,1,1.35,0,0,1,0.03,37116,31113.41
Hojai,358,437.06,,27466.29,13,41.02,26,40.32,0,0,1,0.2,41212,27984.89
Jorhat,1509,3486.49,,12963.79,367,624.14,109,536.44,2,2.56,41,485.88,17609,18099.3
KARIMGANJ,960,657.73,,36608.48,24,30.31,13,41.51,0,0,5,1.13,59097,37339.16
Kamrup,1556,1442.74,,59477.33,248,170.11,57,388.25,1,1.71,26,141.07,89954,61621.21
Kamrup Metro,3003,15147.19,,98599.45,771,2137.29,504,6661.96,6,1.6,196,3174.9,54503,125722.39
Karbi Anglong,3564,3298.78,,1453.65,64,196.76,8,19.81,1,0.22,7,30.6,4874,4999.82
Kokrajhar,4668,3216.21,,15173.27,5,2.27,11,8.9,2,37.97,5,7.89,30657,18446.51
Lakhimpur,1541,908.02,,21076.55,42,84.94,35,44.72,23,13.25,3,5.86,36686,22133.34
Majuli,8,2.59,,393.08,0,0,0,0,0,0,0,0,642,395.67
Morigaon,84,147.29,,26630.09,15,51.23,3,3.41,3,3.47,6,32.27,48169,26867.76
Nagaon,1176,1126.61,,105671.8,68,59.77,141,286.97,33,9.15,35,127.43,184775,107281.73
Nalbari,83,75.48,,27667.35,38,30.59,29,52.79,3,2.4,10,45.36,45044,27873.97
Sivasagar,749,793.25,,23799.53,168,179.85,52,92.5,1,2.58,18,54.76,24361,24922.47
Sonitpur,1883,3060.99,,28811.37,186,733.01,56,139.75,3,0.79,19,128.13,52327,32874.04
South Salmara,8,3.56,,5065.98,0,0,0,0,0,0,0,0,4190,5069.54
Tinsukia,1844,4081.54,,9524.81,510,1329.18,157,1299.52,2,0.88,35,419.09,13369,16655.02
Udalguri,6102,8329.48,,7646.05,18,8.68,5,5.29,5,2.62,4,1,12987,15993.12
West Karbi Anglong,420,743.07,,105,1,0.09,5,1.63,1,0.29,0,0,466,850.08
