district,Current Year Disbursed KCC No.,Current Year Disbursed KCC Amount,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card,Card activated,AH No. of KCC,AH Amount disbursed,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card,AH Card activated,Fishery No. of KCC,Fishery Amount disbursed,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card,Fishery Card activated
Baksa,5027,4451.69,25429,15324.13,15003,9591,28,25.93,107,208.78,13,10,15,9.53,21,25.15,10,11
Barpeta,6287,3555.9,54416,25689.69,23399,14015,77,101.23,349,547.91,30,20,190,162.13,264,359.16,16,11
Biswanath,3051,2231.71,24984,14036.26,12141,7925,76,78.8,180,250.91,22,17,0,0,9,15.6,4,3
Bongaigaon,1590,1067.19,13931,5895.67,8463,5467,39,35.11,187,225.43,0,0,114,75.47,120,90.21,3,3
Cachar,5262,3518.96,48279,28894.75,30418,25590,91,102.01,1541,2055,64,61,202,158.45,367,314.72,44,32
Charaideo,419,319.34,9883,5645.93,8671,5139,10,18.37,197,290.15,0,0,60,42.08,64,49.83,3,3
Chirang,2436,1410.47,18347,10045.63,9718,5652,9,9.21,116,161.54,2,1,5,47.79,7,49.5,1,1
Darrang,3971,2709.63,38330,19036.73,20012,11445,53,66.94,267,350.48,6,5,307,163.84,365,235.68,20,14
Dhemaji,3707,2825.86,24505,14343.88,15843,10746,55,55.66,406,473.13,21,15,57,40.23,64,75.3,6,2
Dhubri,3383,2278.34,28386,15309.93,18166,13609,43,36.52,545,755.3,23,18,14,152.22,25,168.83,0,0
Dibrugarh,10794,7707.35,74451,41680.17,33611,24021,56,71.27,859,1074.6,185,122,90,71.78,104,127.72,4,4
Dima Hasao,211,179.99,2012,767,759,878,12,21.37,90,73.37,9,62,4,2.62,4,2.46,2,2
Goalpara,3058,1626.2,24462,11743.85,16970,9723,27,27.27,398,464.11,5,7,364,235.25,378,250.83,1,0
Golaghat,4881,3524.86,60402,30594.38,33185,24389,66,81.32,630,798.92,127,127,16,27.69,23,32.21,2,1
Hailakandi,3788,1366.51,18051,9305.43,12485,8113,35,42.8,363,450.56,3,15,10,21.11,20,39.06,0,0
Hojai,2519,1655.85,20239,10991.66,13909,11004,42,50.39,423,760.61,1,1,17,107.01,26,127.88,0,0
Jorhat,4593,2562.35,45025,22143.68,26401,22056,81,168.66,732,857.77,70,68,116,74.24,138,92.43,2,1
Kamrup Metro,8456,4673.67,75043,37979.57,38074,25188,71,105.67,603,962.48,42,39,173,106.7,203,177.02,14,5
Karbi Anglong,3451,2847.84,26006,12484.2,3928,2718,14,13.64,87,116.04,2,1,16,3.06,20,13.19,1,1
Karimganj,1703,963.05,28113,15932.25,18913,16934,45,64.61,1135,1499.01,4,0,38,98.89,104,185.74,8,5
Kokrajhar,2520,1933.77,22600,12116.51,13390,6882,6,9.38,151,179.47,0,0,48,32.29,53,35.7,0,0
Lakhimpur,6992,5522.26,59263,33353.83,28303,20543,137,296.26,885,1258.28,6,4,171,167.83,187,298.4,1,1
Majuli,305,187.77,4640,2260.76,3786,2535,6,10.25,45,91.05,0,0,46,35.85,61,46.62,0,0
Morigaon,3629,2218.8,38512,22835.55,26218,17993,174,152.85,1162,1403.55,5,3,154,49.05,181,174.85,10,6
Nagaon,8820,6750.33,95984,47001.28,45798,34045,245,190.48,1492,2078.65,19,13,471,624.56,766,930.67,3,3
Nalbari,3629,2026.62,42372,15790.36,17619,11134,73,91.13,487,557.76,42,27,60,50.16,136,121.44,20,20
Sivasagar,3002,1786.95,31449,14492.23,17064,12076,45,51.37,486,546.91,17,33,97,203.11,107,213.98,5,5
Sonitpur,5082,3971.26,33300,20086.18,17858,12513,44,59.57,458,677.87,46,47,94,183.31,124,280.16,12,11
South Salmara,169,66.7,2187,744.02,1598,1368,0,0,0,0,0,0,13,10.73,15,7.15,6,6
Tinsukia,9095,9268.68,56305,35596,27615,21017,88,106.09,950,1359.02,30,44,55,94.82,110,144.86,1,1
Udalguri,3836,3461.3,32318,20021.45,12226,6936,11,6.02,114,133.54,1,1,111,67.3,130,86.86,0,0
West Karbi Anglong,1088,681,10410,3852.44,839,530,7,2.91,7,3.98,0,0,0,0,6,0,0,0
