district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,200,49.17,378,793.93,125,857.86,703,1700.96
Barpeta,11652,3785.71,7562,9238.78,390,2514.91,19604,15539.4
Biswanath,2067,756.44,2635,2939.62,127,787.51,4829,4483.57
Bongaigaon,9517,2832.54,4408,5265.03,323,2247.1,14248,10344.67
Cachar,24656,8223.67,14158,15389.34,526,3680.46,39340,27293.47
Charaideo,851,307.43,972,1155.61,69,486.53,1892,1949.57
Chirang,2097,691.19,1573,1890.45,121,787.55,3791,3369.19
Darrang,5126,1672.15,4377,5180.98,274,1739.92,9777,8593.05
Dhemaji,2216,728.97,1988,3727.85,151,791.98,4355,5248.8
Dhubri,16111,5260.07,9353,10086.12,238,1460.33,25702,16806.52
Dibrugarh,7755,2071.99,5888,8206.45,998,6761.82,14641,17040.26
Dima Hasao,345,83.96,122,237.93,32,178.86,499,500.75
Goalpara,6110,1910.43,2685,2970.02,120,798.87,8915,5679.32
Golaghat,7189,2340.7,4291,5367.87,355,2356.36,11835,10064.93
Hailakandi,5234,1385.19,3061,3661.41,78,546.21,8373,5592.81
Hojai,3573,1197.92,2963,3679.46,185,1276.42,6721,6153.8
Jorhat,8730,2712.05,4286,5924.05,645,4242.62,13661,12878.72
Kamrup Metro,19483,6326.09,12185,13101.63,312,1994.44,31980,21422.16
Karbi Anglong,1022,269.06,294,685.95,156,1114.43,1472,2069.44
Karimganj,15768,4370.64,7199,7773.89,112,695.1,23079,12839.63
Kokrajhar,630,163.26,414,947.07,146,1010.15,1190,2120.48
Lakhimpur,696,243.62,1185,1995.07,357,2168.61,2238,4407.3
Majuli,58,25.59,81,158.83,49,391.12,188,575.54
Morigaon,2959,980.58,3363,4297.45,187,1490.99,6509,6769.02
Nagaon,14929,4421.87,7348,10336.42,924,6219.59,23201,20977.88
Nalbari,5543,1815.11,3236,3932.89,181,1271.67,8960,7019.67
Sivasagar,3375,1239.9,4167,5870.53,498,3393.02,8040,10503.45
Sonitpur,11158,3499.14,6818,8595.05,669,4539.09,18645,16633.28
South Salmara,19,6.23,39,67.89,14,115.62,72,189.74
Tinsukia,5028,1828.54,6469,8706.06,890,6036.22,12387,16570.82
Udalguri,240,61.19,418,800.11,48,359.19,706,1220.49
West Karbi Anglong,237,49.62,35,98.34,17,128.64,289,276.6
