district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,11138,105018.01,2027,44060.55,4864,42096.16,555,5510.21,112,1937.33,555,5510.21
Barpeta,3474,31950.59,141,3615.4,1547,14349.11,35,381.65,3,46.82,35,383.64
Biswanath,1599,14305.06,47,1514.34,601,5412.35,11,182.31,0,0,11,182.31
Bongaigaon,2123,18024.4,104,2906.6,234,2070.8,63,672.68,13,155.91,65,689.58
Cachar,3175,23206.14,254,5934.39,398,3721.52,117,1401.57,38,524.54,118,1414.57
Charaideo,407,3352.74,12,296.39,101,982.47,1,30.83,1,30.83,1,30.83
Chirang,651,6535.94,18,444.25,535,5498.13,0,0,0,0,0,0
Darrang,1541,13370.84,63,1547.62,289,2505.86,11,109.97,2,30.95,12,109.97
Dhemaji,1663,15112.54,21,545.91,536,5186.92,16,170.98,1,1.58,16,170.98
Dhubri,2079,17074.49,43,1135.09,419,3728.58,53,352.86,12,102.65,20,164.03
Dibrugarh,4678,43091.34,407,10871.79,1376,13264.14,80,1215.83,28,418.34,84,1233.35
Dima Hasao,857,4610.52,10,329.88,277,1044.4,2,27.3,2,27.34,2,27.3
Goalpara,1045,9407.22,9,187.52,277,2384.97,4,20.38,1,4.32,4,20.38
Golaghat,2400,21246.42,109,2840.71,624,6442.86,18,202.42,5,62.94,18,202.42
Hailakandi,795,6700.8,8,262.06,16,84.49,7,60.28,2,19.43,7,60.28
Hojai,858,7520.2,38,970.53,49,465.27,4,52.2,3,39.95,4,52.2
Jorhat,4599,38475.69,492,11771.97,870,8749.13,56,658.43,10,126.63,63,719.69
KARIMGANJ,830,5531.8,35,890.59,163,1264.24,4,51.11,1,12.68,4,51.11
Kamrup,3808,30446.85,187,4688.76,2037,20107.44,52,960.33,6,87.38,58,960.33
Kamrup Metro,19822,192728.4,4679,131338.82,635,6664.44,1270,22931.09,396,6097.68,1288,22733.91
Karbi Anglong,2710,22958.88,31,854.41,1470,12906.63,3,61.57,2,61.17,3,61.57
Kokrajhar,1211,11438.42,70,2086.27,320,3929.85,2,14.38,0,0,3,27.12
Lakhimpur,2764,24999.94,91,2536.39,579,5460.48,14,178.34,1,6.07,14,178.34
Majuli,80,708.26,0,0,79,705.04,0,0,0,0,0,0
Morigaon,838,6551.06,24,383.88,183,1097.72,5,58.86,4,49.48,6,71.05
Nagaon,3597,29610.96,145,3469.72,1079,10326.98,33,394.87,5,66.25,33,394.41
Nalbari,2963,22748.44,101,1823.16,822,5076.23,7,78.83,2,17.51,8,82.83
Sivasagar,2722,22564.92,155,3715.08,546,5601.3,44,611.99,17,270.36,44,515.46
Sonitpur,3572,30316.93,303,8045.93,725,6343.52,53,589.09,8,125.16,56,630.31
South Salmara,256,2550.02,0,0,114,1067.34,0,0,0,0,0,0
Tinsukia,2762,27066.6,237,5990.86,614,6012.52,45,637.59,18,266.21,45,637.59
Udalguri,1672,16200.23,1,27.12,425,4352.07,3,34.22,0,0,3,31.29
West Karbi Anglong,673,6497.66,0,0,673,6497.66,0,0,0,0,0,0
