District,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Baksa,9350,12497.4,1048,1224.38,336,299.54,147,241.08,7,1.19,10529,10406.37,3410,3413.96,19871,17880.35,2875,1759.34,319,2957,28,246.51
Barpeta,3248,2751.36,298,283.18,531,323.49,606,340.37,273,80.74,1277,2080.31,788,1330.16,4581,4176.94,1606,1089.42,20,415.34,3,84.19
Biswanath,3245,3130.75,684,580.54,234,209.02,10,8.11,1,0.43,259,425.52,153,216.39,5345,4551.53,1880,1095.45,20,361.07,1,0.21
Bongaigaon,1382,1592.51,257,268.52,25,14.34,62,51.79,15,7.52,536,729.5,390,542.59,1836,1946.57,184,85.88,34,548.56,5,29.12
Cachar,1276,903.07,162,145.6,42,24.9,63,37.32,15,7.51,703,1233.53,435,701.97,2441,1685.05,999,563.98,30,413.77,0,0
Charaideo,1334,1262.54,198,111.65,125,55.33,10,13.67,0,0,190,424.68,121,265.83,1836,1651.7,286,172.22,11,151.13,0,0
Chirang,2102,2063.46,297,270.71,73,35.09,43,35.56,1,1.9,1526,1902.41,1191,1460.14,2526,2499.16,599,543.99,13,324.62,0,0
Darrang,1734,1916.98,241,288.37,171,193.92,90,56.92,5,0.39,818,1319.9,631,973.84,3456,3310.49,1306,1016.04,25,330.48,3,38.38
Dhemaji,2368,1977.54,374,348.06,235,82.13,13,12.27,0,0,711,1669.79,383,775.98,3174,2605.03,961,456.31,6,76.79,0,0
Dhubri,2495,1887.25,157,98.1,341,78.01,210,86.87,165,44.66,1641,2186.27,908,1009.85,3852,2655.68,1438,581.03,20,405.84,1,1.3
Dibrugarh,3048,3007.43,363,346.38,216,80.55,145,126.36,32,17.35,970,1938.85,510,875.67,4162,3859.99,481,225.02,98,1548.92,7,60.67
Dima Hasao,376,385.34,190,206.73,24,15.59,8,11.47,0,0,198,294.62,61,70.26,589,536.95,177,71.29,11,97.48,0,0
Goalpara,2408,2071.12,376,351.02,184,83.23,22,20.86,2,1.41,932,1136.57,608,757.59,3793,3078.81,1173,575.33,10,68.24,0,0
Golaghat,2708,3302.75,285,279.53,64,42.42,143,196.84,9,8.61,644,1138.17,399,664.08,4232,4845.94,520,279.63,30,531.2,2,2
Hailakandi,1090,760.33,171,148.25,118,33.92,152,91.56,8,4.02,514,771.24,311,444.94,1458,960.06,643,300.29,7,162.73,2,40.29
Hojai,1292,1139.86,116,97.33,93,54.18,167,99.18,1,3.83,166,325.78,56,105.57,1365,1361.1,238,159.78,6,38.39,2,10.44
Jorhat,2357,3040.94,377,512.72,65,56.06,126,104.22,0,0,494,871.49,269,386.68,3309,3953.54,602,443.9,43,537.4,3,23.69
Kamrup Metro,4277,4357.3,509,542.6,534,442.22,168,97.6,17,11.59,1251,1760.69,797,1072.07,5531,5266.79,1831,1188.95,28,298.63,4,64.06
Karbi Anglong,1969,1746.56,718,712.84,484,290.22,4,9.42,1,2.11,307,329.04,115,108.03,3061,2073.25,1276,451.73,17,343.45,1,5.73
Karimganj,1177,794.92,194,155.58,91,31.55,153,158.16,26,8.5,475,788.92,215,322.61,2210,1342.74,1267,554.41,6,64.57,0,0
Kokrajhar,1412,1234.62,184,144.22,91,38.64,105,154.73,8,10.5,1938,2356,1503,1814.92,2340,2065.42,813,706.62,9,210.06,0,0
Lakhimpur,3480,3526.81,389,450.27,351,180.04,92,110.78,7,5.65,668,1444.47,384,743.86,4170,4443.56,870,612.04,30,487.32,4,44.3
Majuli,604,614.47,32,44.29,60,40.6,2,1.11,0,0,91,131,56,75.61,858,757.23,273,139.7,5,28.02,1,2.98
Morigaon,1993,1675.16,209,232.51,378,259.96,358,235.38,69,16.86,573,925.82,406,613.56,3649,2981.2,1571,1090.33,12,98.29,3,23.59
Nagaon,4608,4698.78,679,615.13,312,138.97,112,95.48,13,5.22,1032,2051.08,663,1108.5,5654,5659.41,1153,733.34,42,552.6,11,65.78
Nalbari,3239,3998.87,626,766.87,183,153.2,153,178.62,14,13.65,1032,1782.98,666,1088.85,5690,5797.45,1109,653.2,20,360.65,0,0
Sivasagar,1770,1808.6,225,162.75,120,46.43,115,129.86,2,3.32,529,1306.99,258,557.68,2823,2887.96,422,333.05,33,556.68,6,95.03
Sonitpur,4076,4332.06,561,576.88,358,170.51,71,55.97,9,5.64,1086,2106.13,577,1012.59,5353,4887.35,1936,1004.84,48,825.37,4,36.45
South Salmara,355,252.01,39,44.42,143,34.07,0,0,0,0,400,435.82,322,371.5,397,280.78,184,62.74,0,0,0,0
Tinsukia,2991,3054.64,394,436.41,137,70.31,373,276.61,59,40.25,809,1430.56,391,545.26,3287,3150.24,423,231.66,48,744.36,2,24.01
Udalguri,1626,1823.39,264,201.34,99,101.04,50,25.19,5,2.81,1734,2701.19,1443,2352.75,2856,2722.3,943,689.98,8,142.32,1,0.77
West Karbi Anglong,977,793.84,339,319.91,300,180.35,27,35.09,0,0,19,23.3,14,13.02,2151,1091.99,1327,412.31,1,19.67,0,0
