District,Disbursement No.,Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,1415,502.83,30624,6965.81
Barpeta,2926,2037.76,31449,9042.55
Biswanath,24,25.02,14563,3107.56
Bongaigaon,1757,1526.96,9591,2585.18
Cachar,144,145.8,6330,2151.72
Charaideo,80,49.33,5922,1125.7
Chirang,58,20.74,4545,811.14
Darrang,783,580.67,15103,4217.39
Dhemaji,253,160.23,17850,4241.98
Dhubri,16,26.64,5409,1091.29
Dibrugarh,557,475.14,37477,8948.5
Dima Hasao,37,40.5,359,255.09
Goalpara,525,1077.63,14067,4314.43
Golaghat,1835,1215.01,34397,8284.92
Hailakandi,0,0,1514,299.76
Hojai,2,1.54,9911,2277.5
Jorhat,3385,1702.23,56328,12581.44
Kamrup Metro,12827,5715.43,69109,16320.06
Karbi Anglong,454,678.62,10411,2522.74
Karimganj,302,435.73,5885,2010.21
Kokrajhar,215,112.56,266,151.85
Lakhimpur,306,260.13,32846,9518.47
Majuli,345,112.29,3723,617.28
Morigaon,144,234.48,9303,2798.04
Nagaon,4458,2848.12,44649,11905.09
Nalbari,2959,1676.2,28693,6865.32
Sivasagar,360,334.14,22173,6337.19
Sonitpur,3035,1688.02,29058,6396.54
South Salmara,0,0,6,2.92
Tinsukia,942,579.41,21779,4979.93
Udalguri,98,52.42,11353,2478.89
West Karbi Anglong,79,110.4,818,348.88
