district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,26503,16336.54,23891,11713.01,243,104.82,812,1007.12,51449,29161.49
Barpeta,42933,23188.27,76245,31193.18,889,607.78,2981,3109.2,123048,58098.43
Biswanath,27504,15647.99,34722,16077.9,641,524.41,1791,3206.56,64658,35456.86
Bongaigaon,12004,5805.89,23014,10465.39,505,272.25,1712,2113.08,37235,18656.61
Cachar,48667,28308.75,52332,25589.18,1474,1910.62,8061,10577.48,110534,66386.03
Charaideo,10607,5822.98,12936,6451.96,183,144.23,544,854.22,24270,13273.39
Chirang,19789,10226.17,10075,6314.92,1954,940.09,1160,861.84,32978,18343.02
Darrang,33988,18435.82,48059,21579.54,404,278.63,2058,3383.1,84509,43677.09
Dhemaji,25111,14532.07,18626,8305.87,222,316.16,1578,1821.18,45537,24975.28
Dhubri,30568,16065.76,43263,22237.47,7149,3961.03,5213,3524.2,86193,45788.46
Dibrugarh,69747,43196.54,77010,32067,1416,1073.84,2871,14329.66,151044,90667.04
Dima Hasao,1950,675.45,1097,835.05,12,14.54,96,127.35,3155,1652.39
Goalpara,26976,12267.56,26721,14215.83,857,467.48,944,1358.55,55498,28309.42
Golaghat,55946,31779.31,97742,38349.31,4179,2172.93,3088,7813.37,160955,80114.92
Hailakandi,18092,8991.8,10417,4967.39,251,302.93,1272,1916.45,30032,16178.57
Hojai,21428,11037.23,29334,14212.36,3299,2067.37,4994,4269.47,59055,31586.43
Jorhat,41929,21451.14,84946,30506.91,4616,2404.83,2437,22052.11,133928,76414.99
Kamrup Metro,67820,37536.37,74953,31708.32,874,750.71,2818,5191.2,146465,75186.6
Karbi Anglong,30053,13055.3,13423,5731.99,25,28.14,868,420.27,44369,19235.7
Karimganj,25158,15297.67,34463,16035.52,799,881.98,5958,6734.32,66378,38949.49
Kokrajhar,23108,12520.78,11198,5927.59,4471,2147.8,738,370.62,39515,20966.79
Lakhimpur,54758,33676.82,57076,22055.43,860,745.72,4224,4591.78,116918,61069.75
Majuli,5096,2465.43,3693,1785.18,24,24.46,199,297.87,9012,4572.94
Morigaon,38886,23199.34,54096,26214.41,3041,1945.49,4940,6146.83,100963,57506.07
Nagaon,79644,43906.09,142335,59285.55,4731,3250.61,8505,9196.19,235215,115638.44
Nalbari,29473,13755.28,55820,21508.8,499,326.38,1212,2111.8,87004,37702.26
Sivasagar,25779,13384.8,69874,27244.47,426,392.43,2478,3886.36,98557,44908.06
Sonitpur,31139,19547.76,68996,32911.25,2249,1097.6,2481,5312.46,104865,58869.07
South Salmara,2390,818.59,767,1079.6,0,0,0,0,3157,1898.19
Tinsukia,48175,35010.8,42576,19841.19,789,4928.38,3134,54782.19,94674,114562.56
Udalguri,34631,20408.37,23784,11115.86,245,80.06,544,272.63,59204,31876.92
West Karbi Anglong,10767,3944.39,2772,1427.31,1,0,10,3.05,13550,5374.75
