district,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,0,0,0,0,0,0,0,0,57,652.51,211,617.55,409,1045.29,677,2315.35
Barpeta,0,0,0,0,0,0,2,14.09,221,1241.68,1048,4027.12,4654,12410.7,5925,17693.59
Biswanath,0,0,0,0,0,0,0,0,128,574.95,246,870.71,995,2377.14,1369,3822.8
Bongaigaon,0,0,0,0,0,0,0,0,207,1705.79,681,2145.7,3213,8445.7,4101,12297.19
Cachar,0,0,3,72.99,3,4.11,0,0,390,2900.38,1410,4582.72,11394,34749.88,13200,42310.08
Charaideo,0,0,0,0,0,0,0,0,13,188.63,37,112.75,335,730.58,385,1031.96
Chirang,0,0,0,0,0,0,0,0,43,460.52,161,436.6,661,1078.14,865,1975.26
Darrang,0,0,0,0,0,0,0,0,90,869.68,700,2082.71,3284,7874.31,4074,10826.7
Dhemaji,0,0,0,0,0,0,0,0,46,328.06,426,1834.03,1642,4331.85,2114,6493.94
Dhubri,0,0,0,0,13,129.26,1,1.88,313,1354.73,460,1389.95,2260,4728.27,3047,7604.09
Dibrugarh,0,0,3,34.5,0,0,0,0,455,4671.99,2274,10628.62,10379,129315.93,13111,144651.04
Dima Hasao,0,0,0,0,0,0,0,0,19,187.27,202,599.56,483,1758.95,704,2545.78
Goalpara,0,0,0,0,0,0,0,0,203,364.79,404,1170.65,1618,4642.34,2225,6177.78
Golaghat,0,0,1,60,0,0,1,10.55,153,1353.89,875,3059.25,3877,11206.88,4907,15690.57
Hailakandi,0,0,0,0,0,0,0,0,54,92.99,172,522.31,815,1878.1,1041,2493.4
Hojai,0,0,0,0,0,0,0,0,58,386.43,435,1394.92,1305,4794.65,1798,6576
Jorhat,0,0,6,25.22,0,0,3,22.14,862,6499.34,1765,6210.97,7881,24971.89,10517,37729.56
Kamrup Metro,0,0,0,0,0,0,7,25.66,363,3094.45,3184,13004.54,9938,110443.81,13492,126568.46
Karbi Anglong,0,0,0,0,0,0,0,0,41,311.71,600,1936.73,1147,5205.92,1788,7454.36
Karimganj,0,0,0,0,0,0,0,0,63,348.44,433,1476.8,2251,6257.03,2747,8082.27
Kokrajhar,0,0,0,0,0,0,1,3.59,78,753.05,326,1472.12,1388,4644.92,1793,6873.68
Lakhimpur,0,0,0,0,0,0,1,2.97,242,1710.17,694,2629.81,3626,7826.25,4563,12169.2
Majuli,0,0,0,0,0,0,0,0,14,58.18,198,454.9,130,279.98,342,793.06
Morigaon,0,0,0,0,0,0,0,0,30,190.68,715,1558.1,1826,5895.48,2571,7644.26
Nagaon,0,0,5,7.9,9,65.28,0,0,248,2055.96,1138,4883.12,6647,20536.44,8047,27548.7
Nalbari,0,0,1,1.5,0,0,1,24.2,260,1745.91,1076,4714.09,2822,10001.25,4160,16486.95
Sivasagar,0,0,2,7.33,0,0,1,26.51,145,2216.18,1360,6991.73,8543,13965.22,10051,23206.97
Sonitpur,0,0,3,6.7,0,0,1,4.52,384,3856.66,1371,4258.56,6348,20301.68,8107,28428.12
South Salmara,0,0,0,0,0,0,0,0,2,10.85,10,12.24,128,589.84,140,612.93
Tinsukia,0,0,1,0.39,6,12.28,2,1.54,195,2368.6,1413,6399.13,6483,30529.67,8100,39311.61
Udalguri,0,0,0,0,0,0,0,0,31,116.75,158,473.53,400,1332.07,589,1922.35
West Karbi Anglong,0,0,0,0,0,0,0,0,11,52.28,90,300.65,52,133.36,153,486.29
