District,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Baksa,7356,3673.44,6235,3859.14,55,43.78,27,23.31,13673,7599.67
Barpeta,14613,7536.32,10596,4680.49,217,176.82,369,376.12,25795,12769.75
Biswanath,9733,5317.81,5871,2471.01,182,110.09,275,183.77,16061,8082.68
Bongaigaon,2395,1013.65,1459,842.55,96,47.67,175,223.98,4125,2127.85
Cachar,14987,7948.33,3029,1920.64,312,312.58,1199,1854.11,19527,12035.66
Charaideo,1148,618.76,1722,963.76,26,21.23,59,101.84,2955,1705.59
Chirang,4645,1914.38,2611,1546.37,566,401.06,83,77.51,7905,3939.32
Darrang,10901,5410.35,9051,4407.99,99,80.56,311,286.15,20362,10185.05
Dhemaji,8862,4950.85,4150,2316.66,58,78.22,128,188.31,13198,7534.04
Dhubri,13645,6572.49,4311,2245.54,2304,1437.09,1590,1142.26,21850,11397.38
Dibrugarh,27232,14252.9,17849,4792.11,604,440.09,482,785.53,46167,20270.63
Dima Hasao,751,155.1,443,275.62,1,2,7,13,1202,445.72
Goalpara,6827,2876.46,3966,3289.2,209,137.12,117,128.71,11119,6431.49
Golaghat,25412,12730.08,17220,3648.34,1888,1098.76,455,603.25,44975,18080.43
Hailakandi,5820,2636.51,1590,850.74,40,62.53,141,151.06,7591,3700.84
Hojai,6922,3756.71,1047,551.49,423,257.01,1397,1062.04,9789,5627.25
Jorhat,17519,7297.37,21829,4560.42,2173,1333.51,351,1768.65,41872,14959.95
Kamrup Metro,25941,13172.92,9144,4063.05,180,313.11,307,616.51,35572,18165.59
Karbi Anglong,5926,2032.42,2527,1294.79,2,3,16,32.12,8471,3362.33
Karimganj,5892,3016.39,4329,1569.56,173,143.53,973,1091.05,11367,5820.53
Kokrajhar,5093,2394.63,2945,2096.34,248,144.65,119,80.99,8405,4716.61
Lakhimpur,20097,11314.47,10527,3778.65,312,263.76,435,515.62,31371,15872.5
Majuli,1488,642.05,1112,889.26,3,3,19,34.43,2622,1568.74
Morigaon,8807,4822.06,5325,2910,1243,716.87,1410,1424.18,16785,9873.11
Nagaon,29524,12183.23,20042,5741.48,1242,827.91,1845,1739.12,52653,20491.74
Nalbari,9825,4359.01,10522,3511.36,151,99.18,90,108.86,20588,8078.41
Sivasagar,8646,3616.41,10467,2977.72,142,94.99,453,443.26,19708,7132.38
Sonitpur,7498,4184.41,10467,4095.74,644,415.8,426,503.65,19035,9199.6
South Salmara,1168,349.91,339,468.8,0,0,0,0,1507,818.71
Tinsukia,12439,8050.12,8313,2572.65,178,141.17,394,622.45,21324,11386.39
Udalguri,14500,9064.05,8339,4895.58,34,11.12,31,17.06,22904,13987.81
West Karbi Anglong,1524,677.88,1587,597.59,1,0,0,0,3112,1275.47
