district,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Baksa,0,0,101,348.59,1072,8384.37,3,116.39,95,30.96,1033,901.46,2304,9781.77
Barpeta,0,0,340,988.95,3574,32043.57,527,640.58,536,263.93,1702,2108.07,6679,36045.1
Biswanath,0,0,132,366.45,1404,12457.29,551,68.76,0,0,715,2525.2,2802,15417.7
Bongaigaon,0,0,123,465.48,2303,18603.25,3758,1064.32,125,60.34,5930,3149.22,12239,23342.61
Cachar,0,0,1039,2961.67,3942,26581.88,37,9.36,16,5.18,2517,5146.71,7551,34704.8
Charaideo,0,0,69,199.96,743,6177.9,2102,149.66,72,27.54,196,1921.82,3182,8476.88
Chirang,0,0,67,222.17,762,7643.71,59,17.4,155,86.5,1690,627.96,2733,8597.74
Darrang,0,0,327,890.72,1670,13900.08,1812,305.54,59,30.47,970,1615.24,4838,16742.05
Dhemaji,0,0,153,370.94,1788,15955.34,699,121,30,8.37,268,410.91,2938,16866.56
Dhubri,0,0,191,587.22,2214,18201.45,0,0,233,129.16,761,1051.05,3399,19968.88
Dibrugarh,0,0,877,2742.93,5284,47654.11,7364,784.36,23,8.46,3000,8286.61,16548,59476.47
Dima Hasao,0,0,23,60.37,858,4630.77,2,1.2,0,0,353,393.63,1236,5085.97
Goalpara,0,0,125,449.35,1087,8866.53,1,0.06,495,325.09,2039,2031.58,3747,11672.61
Golaghat,0,0,313,904.41,2664,22262.25,2069,272.44,8,2.03,6794,3472.42,11848,26913.55
Hailakandi,0,0,90,197.45,1114,8478.2,1,4.49,26,13.46,567,1073.18,1798,9766.78
Hojai,0,0,130,369.3,987,8678.44,1,10.02,0,0,1271,12490.39,2389,21548.15
Jorhat,0,0,708,2327.25,5029,40660.75,5690,1292.9,0,0,13193,7293.27,24620,51574.17
KARIMGANJ,0,0,104,287.81,1211,6943.89,0,0,15,2.94,755,6156.36,2085,13391
Kamrup,0,0,1173,3538.72,4240,32909.45,8635,1847.26,24,10.32,19325,7884.01,33397,46189.76
Kamrup Metro,0,0,3938,15959.34,22350,247001.46,1105,607.47,1,0.05,39220,21694.34,66614,285262.66
Karbi Anglong,0,0,113,283.81,2718,23010.39,1,1.78,1,0.08,654,837.99,3487,24134.05
Kokrajhar,0,0,91,261.58,1119,10489.83,15,11.9,58,41.53,279,891.93,1562,11696.77
Lakhimpur,0,0,288,760.91,3580,27670.31,1730,227.74,121,50.27,1181,8121.23,6900,36830.46
Majuli,0,0,43,84.63,204,1097.74,1224,159.97,0,0,394,6537.76,1865,7880.1
Morigaon,0,0,119,354.96,1712,11352.86,3,1.65,30,12.42,916,13969.55,2780,25691.44
Nagaon,0,0,330,1065.71,4461,34396.15,1280,172.47,3,2.14,16425,12684.85,22499,48321.32
Nalbari,0,0,326,1019.91,3050,23271.18,1733,225.5,7,3.53,2972,4118.67,8088,28638.79
Sivasagar,0,0,313,780.59,2734,21582.33,1608,238.36,20,7.89,5882,5684.83,10557,28294
Sonitpur,0,0,437,1191.79,3784,31196.77,3156,429.99,6,3.74,7114,12761.68,14497,45583.97
South Salmara,0,0,12,43.9,256,2542.4,0,0,9,6.5,0,0,277,2592.8
Tinsukia,0,0,559,1713.43,3220,27891.98,6069,631.25,29,7.37,2752,7041.77,12629,37285.8
Udalguri,0,0,210,504.49,1661,16202.67,20,6.67,0,0,930,505.55,2821,17219.38
West Karbi Anglong,0,0,17,38.51,673,6497.66,0,0,11,0.92,13,3.84,714,6540.93
