District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,26,82.45,399,3435.32,0,0,2,0.63,1715,938.83,2142,4457.23
Chandel,0,0,8,23.88,54,710.82,0,0,0,0,63,65.83,125,800.53
Churachandpur,0,0,74,182.85,343,3864.71,0,0,0,0,185,147.17,602,4194.73
Imphal East,0,0,146,519.6,790,6073.63,1,18.9,2,0.31,6640,1445.19,7579,8057.63
Imphal West,0,0,621,2683.18,2352,22499.54,4,117.3,10,4.37,4155,1120.63,7142,26424.99
Jiribam,0,0,1,0.58,3,22.28,0,0,0,0,83,56.44,87,79.3
Kakching,0,0,30,81.45,125,1606.87,2,36.2,0,0,2118,1076.42,2275,2800.94
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,17,58.16,98,1339.58,0,0,0,0,42,26.38,157,1424.12
Noney,0,0,2,5.67,0,0,0,0,0,0,0,0,2,5.67
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,51,198.71,148,2119.61,0,0,0,0,399,321.85,598,2640.17
Tamenglong,0,0,9,21.46,7,65.81,0,0,0,0,0,0,16,87.27
Tengnoupal,0,0,4,23.92,42,570.69,0,0,0,0,3,16.34,49,610.95
Thoubal,0,0,65,244.63,418,4547.1,0,0,5,1.3,5509,1362.17,5997,6155.2
Ukhrul,0,0,9,21.26,13,93.77,0,0,0,0,212,177,234,292.03
