District,Bank Name,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Bishnupur,BOB,275959,202478,199992
Chandel,BOI,34338,24672,21012
Churachandpur,BOM,260792,187251,116894
Imphal East,CAN,419496,305894,264197
Imphal West,CBI,829877,560639,455536
Jiribam,IND,43438,31390,7740
Kakching,IOB,176402,125869,105976
Kamjong,PNB,5534,3220,2332
Kangpokpi,PSB,108747,59920,53513
Noney,SBI,25820,18323,15731
Pherzawl,UCO,131,131,131
Senapati,UNI,127690,69571,47563
Tamenglong,Total,41530,35367,2827
Tengnoupal,AXIS,42982,30567,23837
Thoubal,BAND,322213,207497,169288
Ukhrul,HDFC,113812,85616,47449
