district,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Bishnupur,4,6.27,20,36.13,652,1063.39,334,540.62,50.84
Chandel,0,0,3,4.07,276,501.42,106,169.43,33.79
Churachandpur,22,122.75,25,54.79,391,768.76,221,293.85,38.22
Imphal East,10,79.6,14,59.73,803,2833.62,298,604.38,21.33
Imphal West,45,248.48,55,211.6,1338,5015.98,595,1595.01,31.8
Jiribam,0,0,0,0,13,24.35,8,13.85,56.88
Kakching,4,5.7,9,19.61,244,439.36,114,174.83,39.79
Kamjong,0,0,0,0,39,70.6,25,50.26,71.19
Kangpokpi,1,9.5,5,27.8,281,732.79,111,267.17,36.46
Noney,0,0,0,0,31,69.13,12,21.59,31.23
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,2,9.5,5,17.6,600,1280.01,296,471.76,36.86
Tamenglong,0,0,1,0.5,182,296.71,97,125.85,42.42
Tengnoupal,1,4.5,2,2.5,98,217.1,56,137.33,63.26
Thoubal,20,50.45,20,25.98,524,1042.84,232,298.11,28.59
Ukhrul,2,10.11,11,25.55,346,544.08,177,244.51,44.94
