District,Crop Loan No.,Amt,Forestry And Wasteland Dev. No.,Water Resource No.,Farm Mechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillary Activities No.,Total Agri (PS) Disb No.
Bishnupur,894,2234.46,21,0,213,0,18,13,319,0,34,1512
Chandel,6,6.84,0,0,0,0,3,0,0,0,1,10
Churachandpur,314,462.75,0,0,1,0,20,0,33,1,6,375
Imphal East,213,3379.88,34,0,499,0,94,1,456,2,86,1385
Imphal West,868,9225.24,62,0,597,2,237,5,1109,10,185,3075
Jiribam,0,6.09,0,0,0,0,4,2,0,0,0,6
Kakching,206,941.35,0,0,0,0,19,29,117,0,12,383
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,37,89.25,0,0,0,0,5,0,13,0,2,57
Noney,44,58.98,0,0,0,0,0,0,7,0,0,51
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,249,167.14,0,0,1,0,0,0,8,0,3,261
Tamenglong,5,10.91,0,0,1,0,12,4,0,0,0,22
Tengnoupal,12,25.21,0,0,0,0,5,2,17,0,4,40
Thoubal,317,3021.79,28,0,367,0,17,5,685,0,33,1452
Ukhrul,33,32.05,0,0,0,0,2,0,1,3,1,40
