district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,37,11.31,66,102.26,21,126.14,124,239.71
Chandel,0,0,18,30.65,1,8,19,38.65
Churachandpur,12,2.55,73,150,59,451.03,144,603.58
Imphal East,79,31.12,217,402.97,41,198.19,337,632.28
Imphal West,159,68.97,338,646.85,146,740.14,643,1455.96
Jiribam,1,0.07,2,2.85,1,5.78,4,8.7
Kakching,26,4.03,67,106.52,20,64.59,113,175.14
Kamjong,8,3.9,0,0,0,0,8,3.9
Kangpokpi,8,3.89,85,286.63,9,76,102,366.52
Noney,1,0.5,28,71.8,4,27.24,33,99.54
Pherzawl,0,0,0,0,0,0,0,0
Senapati,10,3.07,55,172.98,62,471.57,127,647.62
Tamenglong,14,7,27,74.6,5,41.42,46,123.02
Tengnoupal,2,0.08,10,17.43,0,0,12,17.51
Thoubal,41,9.59,116,179.79,14,94.04,171,283.42
Ukhrul,2,1,33,70.44,11,74.21,46,145.65
