district,Bank Name,ATM ATM Rural,ATM Semi- Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi- Urban,Branch Urban,Total Branch,B/C B/C Total,B/C Fix,B/C Other
Bishnupur,,3,11,0,14,4,18,0,22,418,376,42
Chandel,,4,0,0,4,4,0,0,4,32,30,2
Churachandpur,,25,3,0,28,20,4,0,24,97,51,46
Imphal East,,19,1,11,31,26,3,8,37,530,505,25
Imphal West,,9,3,204,216,14,12,52,78,3588,1012,2576
Jiribam,,1,1,0,2,4,1,0,5,21,14,7
Kakching,,1,16,0,17,2,9,0,11,95,50,45
Kamjong,,1,0,0,1,2,0,0,2,4,4,0
Kangpokpi,,11,0,0,11,13,1,0,14,23,19,4
Noney,,1,0,0,1,6,0,0,6,20,19,1
Pherzawl,,0,0,0,0,0,0,0,0,4,4,0
Senapati,,17,0,0,17,14,2,0,16,28,12,16
Tamenglong,,0,2,0,2,2,3,0,5,13,0,13
Tengnoupal,,2,4,0,6,3,4,0,7,19,9,10
Thoubal,,2,28,0,30,8,13,0,21,726,673,53
Ukhrul,,3,5,0,8,4,4,0,8,46,24,22
