District,Bank Name,CHRISTIANS No.,Amt,MUSLIMS No.,BUDDHISTS No.,SIKHS No.,ZORASTRIANS No.,JAINS No.,Tot Minority Disb No.
Bishnupur,,36,211.76,82,0,1,0,1,120
Chandel,,403,1688.47,2,1,0,0,0,406
Churachandpur,,1381,7854.99,107,0,0,0,0,1488
Imphal East,,138,1374.93,137,0,3,0,0,278
Imphal West,,717,5682.66,491,4,10,0,8,1230
Jiribam,,2,51.04,5,0,0,0,0,7
Kakching,,51,338.37,16,0,1,0,0,68
Kamjong,,24,105.54,1,0,0,0,0,25
Kangpokpi,,459,1786.42,11,1,1,0,0,472
Noney,,65,211.76,0,0,0,0,0,65
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,851,3097.32,50,2,0,0,0,903
Tamenglong,,98,777.31,0,0,0,0,0,98
Tengnoupal,,133,824.32,17,0,0,0,0,150
Thoubal,,19,1086.35,242,0,0,0,0,261
Ukhrul,,282,1749.68,4,1,0,0,0,287
