district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillaryy No,Ancillaryy Amt,Agri Total O/S No.,Agri Total O/S Amount
Bishnupur,6176,4572.34,4026,7793.57,3,8.09,731,488.48,10936,12862.48
Chandel,200,137.74,38,48.57,0,0,9,13.38,247,199.69
Churachandpur,2393,1836.3,1474,2001.66,0,0,37,221.62,3904,4059.58
Imphal East,2978,2920.44,6311,10988.35,13,15.75,1373,2099.16,10675,16023.7
Imphal West,13363,13506.2,9891,25382.98,33,383.05,1567,14996,24854,54268.23
Jiribam,70,35.24,29,57.99,0,0,7,58.14,106,151.37
Kakching,1174,1703.2,1853,3740.98,7,5.79,200,173.85,3234,5623.82
Kamjong,0,0,0,0,0,0,5,12.8,5,12.8
Kangpokpi,1180,1380.16,190,284.27,0,0,82,155.04,1452,1819.47
Noney,201,138.71,405,398.55,0,0,23,91.28,629,628.54
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,2035,1721.22,260,533.28,1,1.42,74,118.19,2370,2374.11
Tamenglong,153,96.45,116,89.22,0,0,22,27.36,291,213.03
Tengnoupal,208,116.1,516,716.15,0,0,13,26.47,737,858.72
Thoubal,3459,2771.21,5186,9810.02,3,8.34,522,863.4,9170,13452.97
Ukhrul,572,563.3,316,397.28,4,9.06,35,72.72,927,1042.36
