district,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Schedule d Castes No,Schedule d Castes Amt,Schedule d Tribes No,Schedule d Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficia ries No,women beneficia ries Amt,Minority communi ties No,Minority communi ties Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Bishnupur,7999,8901.58,516,755.25,78,304.29,0,0,486,444.26,4856,1800.45,586,870.37,37,1.31,689,657.66,15247,13735.17
Chandel,134,79.94,3,2.97,359,466.47,0,0,2,0.07,120,53.29,385,878.17,0,0,40,71.89,1043,1552.8
Churachandpur,4373,12334.9,29,55.74,2571,6672.3,0,0,253,358.27,981,466.7,3249,10795.25,249,0.19,82,140.54,11787,30823.89
Imphal East,6042,8522.86,105,149.01,748,2749.89,1,0.14,910,1113.6,11369,2970.25,769,2093.06,58,0.59,806,882.06,20808,18481.46
Imphal West,22719,44290.06,566,1530.45,1776,6975.26,5,0.46,833,844.45,12055,4177.1,1359,8098.21,162,1.76,1050,2297.5,40525,68215.25
Jiribam,219,432.74,13,5.92,21,8.94,0,0,58,44.63,93,25.77,5,7.7,0,0,0,0,409,525.7
Kakching,2715,5965.22,1144,2364.38,146,222.6,0,0,277,253.23,1905,741.88,108,212.47,0,0,90,183.34,6385,9943.12
Kamjong,0,0,0,0,12,5.17,0,0,0,0,11,4.22,28,34.05,0,0,1,0.11,52,43.55
Kangpokpi,979,1668.5,91,390.49,760,1716.03,0,0,33,36.66,333,164.02,1104,3230.92,0,0,18,17.74,3318,7224.36
Noney,598,527.6,2,1.07,291,349.31,2,0.12,71,79.97,276,143.75,353,500.37,1,0,1,1.85,1595,1604.04
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2384,4004.69,0,0,847,1545.59,0,0,85,218.45,725,343.07,2175,6384.47,0,0,42,49.96,6258,12546.23
Tamenglong,1717,8189.02,0,0,214,422.8,16,1.13,5,7.49,88,31.56,414,1183.29,4,0,4,8.46,2462,9843.75
Tengnoupal,932,1703.68,17,87.1,490,718.57,0,0,182,212.72,430,245.4,332,537.05,3,0.1,22,58.64,2408,3563.26
Thoubal,5027,5770.02,169,292.57,74,68.1,1,0.14,710,879.33,8030,2096.45,1183,1207.59,190,3.42,511,579.97,15895,10897.59
Ukhrul,1815,7522.74,0,0,1192,1636.47,0,0,58,40.41,279,140.46,216,576.52,0,0,77,81.92,3637,9998.52
