district,Enrolmentunder PMJJBY,eligiblecasesunder PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligiblecasesunder PMSBY,renewalsunder PMSBY,Enrolmentunder APY,Total Enrolment No.
Bishnupur,26949,126021,23097,66036,190428,85859,8794,101779
Chandel,4378,20471,2266,8543,32919,5938,292,13213
Churachandpur,30499,140257,11660,55099,211256,34407,4034,89632
Imphal East,39824,173370,33580,113920,241814,123718,13199,166943
Imphal West,93170,424418,52320,230108,633798,158169,29634,352912
Jiribam,6815,30276,1864,12525,39813,2720,3021,22361
Kakching,19976,85597,11090,46370,129889,41848,4571,70917
Kamjong,616,2421,377,1445,4226,1263,60,2121
Kangpokpi,14329,35654,6619,18318,57367,11692,1317,33964
Noney,2648,11265,4000,6077,14353,14014,839,9564
Pherzawl,0,0,0,0,0,0,0,0
Senapati,19252,70830,8115,38731,103657,21254,2343,60326
Tamenglong,4333,41478,999,18135,52494,3370,3440,25908
Tengnoupal,8634,25017,7967,13948,36870,16551,1478,24060
Thoubal,25130,129850,27766,65362,204698,90431,7940,98432
Ukhrul,17897,86437,7023,27116,124627,19971,4204,49217
