District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,2537900,81374.96,1102,1951.92,873,255.18,45701,216792.47,104172,9148.5,16914,421.76
Chandel,725135,12550.52,35,196.71,80,46.92,1080,172.84,10061,456.12,9554,293.45
Churachandpur,4842533,128443.2,197,21.73,1489,1131,34562,478547.22,90020,5222.49,33233,797.64
Imphal East,6413149,258980.1,973,3504.5,6497,3419.28,217543,1091573.24,250445,23825.17,32323,814.74
Imphal West,17874440,616838.3,1754,3779.97,16194,8825.57,306107,2572632.71,663581,43211.38,110852,3102.9
Jiribam,1104135,20404.74,29,143.06,0,0,18692,979.91,29343,1460.2,1057,39.66
Kakching,2088373,71412.14,322,150.56,1071,234.94,30337,493132.7,60262,3576.01,13928,288.27
Kamjong,112530,2098.91,0,0,0,0,0,0,68,1.1,802,18.05
Kangpokpi,2164378,41844.54,19,11.08,46,29.53,7413,1408.54,14681,647.23,18937,561.03
Noney,240069,6198.86,228,95.02,1,0.53,1980,127.46,1426,72.64,1333,50.06
Pherzawl,9,15.1,9,15.1,0,0,1,0.02,0,0,0,0
Senapati,2554621,72005.39,46,63,750,597.77,17569,275371.38,30448,1964.53,17596,469.33
Tamenglong,918461,21277.43,33,1.09,0,0,15782,1500.21,37428,1825.53,303,11.17
Tengnoupal,715235,26422,64,86.19,267,106.97,5393,271513.64,16418,941.26,7195,201.64
Thoubal,4076749,129554.9,1057,4345,1879,1361.55,78983,294367.39,80490,5339.72,18678,457.88
Ukhrul,1966348,43730.11,88,34.23,0,0,20710,2882.56,50535,2928.16,9068,229.8
