district,Micro TL No,Amt,Micro WC No,Small TL No,Small WC No,Medium TL No,Medium WC No,KVIC No,Othersunder MSMEs No,CLF No,Tot MSME (PS) Disb No
Bishnupur,251,1617.79,43,3,4,0,0,0,0,0,301
Chandel,125,79,26,0,0,0,0,0,0,0,151
Churachandpur,322,2709.4,106,2,7,0,0,0,0,2,439
Imphal East,400,5779.81,185,14,21,2,0,2,1,10,635
Imphal West,1300,46335.33,523,92,96,7,3,33,2,93,2143
Jiribam,10,34.41,4,1,1,0,0,0,0,0,16
Kakching,149,1383.09,62,6,2,1,0,0,0,2,222
Kamjong,13,5.29,4,0,0,0,0,0,0,0,17
Kangpokpi,92,609.2,45,4,1,0,0,0,0,1,143
Noney,9,61.83,15,0,0,0,0,0,0,0,24
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,233,764.95,64,8,4,0,0,1,0,1,311
Tamenglong,22,99.77,9,2,1,0,0,0,0,0,34
Tengnoupal,33,19.57,11,0,0,0,0,1,0,0,45
Thoubal,200,1224.96,82,2,7,0,0,0,0,6,273
Ukhrul,90,169.18,17,1,0,0,0,1,0,0,109
