District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Bishnupur,27,101.1,92,90.66,2,4.03,11,5.44,6
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,56,72.8,240,262.74,5,5.55,92,21.58,8.21
Imphal East,91,178.24,837,1054.98,0,0,16,10.1,0.96
Imphal West,90,201.66,573,582.37,12,7.69,10,7.11,1.22
Jiribam,0,0,11,21.72,0,0,0,0,0
Kakching,3,4.75,86,109.47,0,0,2,0.46,0.42
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,3,0.36,10,7.73,0,0,0,0,0
Noney,12,24,29,35.65,0,0,8,5.02,14.08
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,5,10.5,17,25.93,0,0,1,0.48,1.85
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,10,7.19,163,197.93,6,8.35,2,2.35,1.19
Thoubal,120,143.16,498,707.52,0,0,83,61.63,8.71
Ukhrul,0,0,3,3.47,0,0,1,0.11,3.17
