district,Bank Name,Agriculture No,Amt,MSME (NPS) No,Amt,Exp Credit No,Amt,Education (NPS) No,Amt,Housing (NPS) No,Amt,Personal Loans No,Amt,Others NPS No,Amt,Total ACP (NPS) No,Amt
Bishnupur,,0,3664.72,0,3664.72,0,3664.72,0,3664.72,25,3664.72,275,3664.72,1301,3664.72,1601,3664.72
Chandel,,0,1900.2,0,1900.2,0,1900.2,0,1900.2,13,1900.2,22,1900.2,285,1900.2,320,1900.2
Churachandpur,,2,7804.34,0,7804.34,0,7804.34,0,7804.34,53,7804.34,243,7804.34,1083,7804.34,1381,7804.34
Imphal East,,0,12741.2,0,12741.2,0,12741.2,1,12741.2,109,12741.2,597,12741.2,3058,12741.2,3765,12741.2
Imphal West,,0,53473.94,0,53473.94,0,53473.94,15,53473.94,669,53473.94,3432,53473.94,11125,53473.94,15241,53473.94
Jiribam,,0,426.78,0,426.78,0,426.78,0,426.78,1,426.78,16,426.78,32,426.78,49,426.78
Kakching,,0,2556.68,0,2556.68,0,2556.68,0,2556.68,53,2556.68,229,2556.68,347,2556.68,629,2556.68
Kamjong,,0,201.43,0,201.43,0,201.43,0,201.43,0,201.43,1,201.43,25,201.43,26,201.43
Kangpokpi,,0,1898.34,0,1898.34,0,1898.34,0,1898.34,14,1898.34,37,1898.34,244,1898.34,295,1898.34
Noney,,0,238.39,0,238.39,0,238.39,0,238.39,0,238.39,3,238.39,22,238.39,25,238.39
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,0,2996.48,0,2996.48,0,2996.48,0,2996.48,23,2996.48,54,2996.48,518,2996.48,595,2996.48
Tamenglong,,0,818.85,0,818.85,0,818.85,0,818.85,2,818.85,54,818.85,57,818.85,113,818.85
Tengnoupal,,0,1296.07,0,1296.07,0,1296.07,0,1296.07,1,1296.07,24,1296.07,158,1296.07,183,1296.07
Thoubal,,1,6330.4,0,6330.4,0,6330.4,0,6330.4,96,6330.4,194,6330.4,1822,6330.4,2113,6330.4
Ukhrul,,0,2091.52,0,2091.52,0,2091.52,0,2091.52,1,2091.52,79,2091.52,249,2091.52,329,2091.52
