district,Sanctioned No,ofwhichgirlstudent Sanctioned No,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No,Disb. Amt,ofwhichgirlstudent Disb Amt,OS No,ofwhichgirlstudent OS No,OS amt,ofwhichgirlstudent OS Amt
Bishnupur,3,1,3.18,1.6,4,2,3.39,1.61,24,8,77.2,18.67
Chandel,0,0,0,0,0,0,0,0,8,5,23.88,13.73
Churachandpur,2,1,10.34,8.7,3,2,11.2,9.6,74,55,210.94,160.47
Imphal East,6,4,38.04,8.68,11,7,20.22,6.27,143,72,777.4,411.47
Imphal West,36,7,341.76,51.15,122,52,247.11,72.47,681,323,4366.37,2421.12
Jiribam,0,0,0,0,0,0,0,0,1,1,0.58,0.58
Kakching,1,0,1.02,0,4,1,2.95,0.9,29,13,80.85,35.2
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,0,7.5,0,4,2,4.62,2.38,21,13,146.14,95.36
Noney,0,0,0,0,0,0,0,0,2,2,5.67,5.67
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,0,3.36,0,3,0,6.28,0,52,25,233.95,104.4
Tamenglong,0,0,0,0,0,0,0,0,9,7,21.46,15.76
Tengnoupal,0,0,0,0,0,0,0,0,4,1,24.04,15.12
Thoubal,24,7,64.86,11.58,9,5,12.83,5.14,75,27,268.27,99.55
Ukhrul,0,0,0,0,1,1,0.27,0.27,9,5,21.28,15.73
