District,Bank Name,CHRISTIANS No.,Amt,MUSLIMS No.,BUDDHISTS No.,SIKHS No.,ZORASTRIAN No.,JAINS No.,Tot Minority No.
Bishnupur,,691,4598.61,656,4,39,0,2,1392
Chandel,,3622,17468.54,25,2,0,0,0,3649
Churachandpur,,13838,76829.37,1133,20,11,0,0,15002
Imphal East,,2472,19495.1,2533,9,43,0,5,5062
Imphal West,,15479,78261.56,4903,31,107,1,48,20569
Jiribam,,217,923.94,192,1,2,0,0,412
Kakching,,1004,4127.82,216,1,63,0,0,1284
Kamjong,,182,733.04,7,0,0,0,0,189
Kangpokpi,,4944,23527,206,4,9,0,1,5164
Noney,,1067,2277.2,2,0,1,0,0,1070
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,8286,39627.52,336,10,11,0,0,8643
Tamenglong,,2099,9834.75,15,2,1,0,0,2117
Tengnoupal,,2610,10078.38,178,3,3,0,0,2794
Thoubal,,521,11972.65,3874,1,7,2,2,4407
Ukhrul,,4278,19261.73,29,2,4,1,0,4314
