District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,267,1697.17,112,2753.23,2,33.95,0,0,0,0,0,0
Chandel,107,2092.21,3,40.22,0,0,0,0,0,0,0,0
Churachandpur,778,16143.69,176,3416.42,85,1215.82,1,9.73,0,0,1,9.73
Imphal East,1186,13569.9,401,8922,97,2281.71,90,970.29,0,0,90,970.29
Imphal West,1975,16050.85,1644,39095.55,55,1207.04,60,662.71,0,0,60,662.71
Jiribam,3,22.28,7,131.14,0,0,0,0,0,0,0,0
Kakching,67,831.1,109,2707.54,0,0,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,202,4192.26,13,1284.27,4,121.17,0,0,0,0,0,0
Noney,0,0,2,61.19,2,61.32,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,377,9475.03,8,212.2,5,7.9,0,0,0,0,0,0
Tamenglong,67,1359.26,11,239.14,0,0,0,0,0,0,0,0
Tengnoupal,9,106.67,11,254.15,1,27.78,0,0,0,0,0,0
Thoubal,309,3552.09,170,3869,52,460.11,11,191.1,0,0,12,207.63
Ukhrul,7,31.31,6,116.2,0,0,0,0,0,0,0,0
