District,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Tot Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Tot Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Total PSA NPA,TOTAL PSA NPA Pct
Bishnupur,10936,1432,8.8,4168,1866,18.09,2142,844,5.98,17246,4142,11.19
Chandel,247,127,51.87,687,157,13.51,125,5,0.28,1059,289,12.12
Churachandpur,3904,1119,23.88,2776,840,13.42,602,99,1.46,7282,2058,12.99
Imphal East,10675,2036,12.36,8718,2931,12.32,7579,5027,13.15,26972,9994,12.47
Imphal West,24854,11385,17.49,19624,7211,11.99,7142,3223,3.91,51620,21819,12.43
Jiribam,106,27,7.1,103,85,19.44,87,3,1.63,296,115,12.93
Kakching,3234,877,15.37,3032,1935,20.18,2275,102,1.72,8541,2914,14.42
Kamjong,5,5,100,96,17,3.16,0,0,,101,22,12.54
Kangpokpi,1452,353,12.09,1266,348,19.63,157,27,2.62,2875,728,13.84
Noney,629,140,10.09,393,74,9.63,2,0,0,1024,214,9.82
Pherzawl,0,0,,0,0,,0,0,,0,0,
Senapati,2370,590,18.79,2230,447,11.77,598,167,1.57,5198,1204,10.9
Tamenglong,291,142,37.12,529,169,17.18,16,0,0,836,311,19.28
Tengnoupal,737,139,16.6,1347,333,25.36,49,1,0.28,2133,473,18.46
Thoubal,9170,1106,6.5,6026,2645,16.14,5997,2925,8.63,21193,6676,10.58
Ukhrul,927,287,33.34,1157,353,23.87,234,40,5.88,2318,680,25.21
