District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri OS No.
Bishnupur,,305,5725.63,0,28,20,602,519,0,0,1416,2890
Chandel,,95,105.58,0,0,0,18,1,0,0,1,115
Churachandpur,,388,1291.85,0,109,10,112,37,0,0,452,1108
Imphal East,,467,9594.07,9,91,133,1667,160,0,0,2193,4720
Imphal West,,886,18638.8,12,373,30,2043,332,0,1,3666,7343
Jiribam,,18,58.15,0,2,0,2,1,0,0,4,27
Kakching,,357,1942.41,0,8,3,32,294,0,0,202,896
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,73,377.98,0,10,0,38,2,0,0,132,255
Noney,,0,94.27,0,0,0,2,0,0,0,74,76
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,58,264.19,0,6,28,17,2,0,0,57,168
Tamenglong,,82,139.4,0,8,2,19,2,0,0,82,195
Tengnoupal,,52,74.87,0,0,0,1,1,0,0,26,80
Thoubal,,379,8945.96,0,25,43,1027,96,0,0,3102,4672
Ukhrul,,33,378.56,0,9,0,20,1,0,0,285,348
