District,Bank Name,NRLM O/S No.,Amt,NRLM Irregular No.,NRLM NPA No.,NULM O/S No.,NULM NPA No.,PMEGP O/S No.,PMEGP NPA No.,SHG O/S No.,SHG NPA No.,SUI O/S No.,SUI NPA No.
Bishnupur,,92,15.09,2,11,18,0,652,334,357,52,4,1
Chandel,,2,0,0,2,0,0,276,106,2,0,0,0
Churachandpur,,240,28.18,5,92,7,4,391,221,251,102,34,1
Imphal East,,837,67.03,0,16,16,1,803,298,248,22,41,5
Imphal West,,573,152.77,12,10,52,18,1338,595,279,79,101,17
Jiribam,,11,0,0,0,4,2,13,8,21,1,0,0
Kakching,,86,0,0,2,11,7,244,114,148,12,12,0
Kamjong,,0,0,0,0,0,0,39,25,0,0,0,0
Kangpokpi,,10,0,0,0,0,0,281,111,16,0,6,0
Noney,,29,0,0,8,0,0,31,12,42,9,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,17,86.64,0,1,4,1,600,296,105,1,31,4
Tamenglong,,4,0,0,4,3,2,182,97,13,6,0,0
Tengnoupal,,163,0,6,2,0,0,98,56,61,0,0,0
Thoubal,,498,0,0,83,73,2,524,232,196,55,1,0
Ukhrul,,3,0,0,1,21,15,346,177,64,26,0,0
