District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,154,293.83,916,2040.07,16,78.64,329,1702.54
Chandel,2,9.19,24,108.63,48,48.37,424,819.67
Churachandpur,13,224.98,133,556.05,278,1902.19,5843,24025.16
Imphal East,37,240.38,355,937.9,59,206.68,1145,6409.36
Imphal West,135,652.72,1480,4922.56,196,1516.59,11196,27697.79
Jiribam,2,19.45,42,174.1,1,16.95,113,319.13
Kakching,337,1379.97,2636,10009.1,16,103.49,410,1500.54
Kamjong,0,0,4,22.59,4,0.04,19,25.57
Kangpokpi,16,12.56,141,577.06,71,242.41,1331,2883.71
Noney,0,0,12,50.07,12,21.76,812,1008.22
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,40,142.28,88,468.32,1900,5406.69
Tamenglong,1,20,7,34.03,73,712.13,1857,8965.33
Tengnoupal,7,9.61,62,301.92,24,115.7,1382,2574.14
Thoubal,21,62.5,291,937.89,15,63.93,257,928.11
Ukhrul,2,29.7,20,154.59,141,706.48,2882,9312.8
