district,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amount.,Numberofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount.,AH Numberofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount.,Fishery Numberofrupaycard Issued,Fishery Cardactivated
Bishnupur,579,439.2,5021,2903.26,4584,4559,4,1.26,316,276.99,234,230,2,0.56,194,209.91,152,152
Chandel,3,2.33,101,47.97,3,2,3,1.94,95,73,7,7,0,0,3,2.69,0,0
Churachandpur,258,325.13,2255,1615.76,1624,1211,0,0.02,245,311.82,106,105,7,10,32,65.8,15,15
Imphal East,108,242.03,3134,2747.91,2241,2206,3,2.3,678,579.89,496,496,5,0.73,19,29.37,9,9
Imphal West,296,612.05,12802,10941.85,3586,3152,14,14.29,761,641.2,598,597,4,1.3,62,69.95,37,37
Jiribam,4,0,66,29.9,20,14,2,0,12,10.48,8,8,1,0,6,4.5,0,0
Kakching,67,135.73,1061,1063.79,967,927,9,23.55,376,297.62,238,238,45,19.77,235,345.64,114,114
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,59,42.15,951,565,692,542,1,0,59,43.68,28,28,0,0,5,2.02,5,5
Noney,44,45.98,267,215.49,195,195,0,0,11,8.7,3,3,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,139,106.78,1609,879.11,780,640,0,0,57,25.21,4,4,0,0,1,0.18,0,0
Tamenglong,20,2,126,85.22,6,6,12,4.45,55,54.3,0,0,5,1.09,10,9.56,0,0
Tengnoupal,9,10.04,179,85.29,112,104,1,0.64,78,54.13,34,32,1,0,3,7.5,2,2
Thoubal,68,190.14,2964,1793.63,2547,2516,14,12.54,445,347.77,392,376,20,8.09,98,81.49,46,46
Ukhrul,34,22.39,524,361.01,178,177,1,0.01,50,41.26,39,39,0,0,2,1.44,1,1
