District,Sishu O/S No.,Amt,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Total MUDRA O/S No.,Total MUDRA NPA No.,MUDRA NPA Pct
Bishnupur,3672,2003.9,2456,3851,2005,282,15,7805,4476,29.33
Chandel,248,238.75,109,440,169,10,6,698,284,31.17
Churachandpur,1051,1001.7,419,1433,436,344,44,2828,899,20.07
Imphal East,9980,3433.9,6997,5732,2262,730,128,16442,9387,26
Imphal West,11415,5881,6735,8173,3182,1660,411,21248,10328,26.49
Jiribam,101,127.06,79,598,221,22,1,721,301,30.3
Kakching,1887,1671.9,1322,3515,2285,142,14,5544,3621,39.82
Kamjong,87,54.33,56,52,32,2,0,141,88,45.51
Kangpokpi,353,654.08,106,687,232,142,30,1182,368,24.33
Noney,119,110.51,64,601,99,16,0,736,163,11.78
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,385,1032.9,255,1674,628,377,25,2436,908,17.53
Tamenglong,89,126.68,42,414,80,39,2,542,124,13.8
Tengnoupal,351,475.14,110,1202,315,39,24,1592,449,27.78
Thoubal,6987,2318.1,4393,4303,2072,333,30,11623,6495,26.49
Ukhrul,165,367.21,60,796,256,79,17,1040,333,22.4
