District,Current Year No. of Female Account,Current Year Sumof Female Amt,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bishnupur,1,14.6,0,0,0,0,1,14.6,4,76.88,1,15.09,19.63
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,3,0,0,0,6,78.51,9,78.51,34,769.83,1,28.18,3.66
Imphal East,9,121.21,6,15.27,4,18.58,19,155.06,41,534.73,5,67.03,12.54
Imphal West,15,179.34,8,65.42,5,7.12,28,251.88,101,1977.03,17,152.77,7.73
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,12,157.45,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,6,119.83,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,17,0,0,0,0,1,17,31,527.29,4,86.64,16.43
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,1,5.24,0,0,0
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
