District,Bank Name,Inactive CSP,Rupay Cardactivein PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Cardissuedin KCC
Bishnupur,BOB,6,46544,33629,172632,4647
Chandel,BOI,2,4429,2564,22250,3
Churachandpur,BOM,17,30812,20052,149798,708
Imphal East,CAN,17,36612,25033,166965,4293
Imphal West,CBI,730,81622,49926,404810,3203
Jiribam,IND,0,4353,64,2526,23
Kakching,IOB,3,20626,17120,73184,854
Kamjong,PNB,0,1152,1152,3358,0
Kangpokpi,PSB,1,11601,12437,51842,521
Noney,SBI,0,5531,4533,7499,67
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,5,13515,8848,68488,200
Tamenglong,Total,0,6663,1639,4046,6
Tengnoupal,AXIS,0,5505,4081,22230,18
Thoubal,BAND,25,34174,29504,133591,2224
Ukhrul,HDFC,2,15408,8933,44633,65
