District,Bank Name,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bishnupur,BOB,28,10.06,179,149.34
Chandel,BOI,0,0,1,0.85
Churachandpur,BOM,1,9,23,65.2
Imphal East,CAN,93,35.92,1587,312.26
Imphal West,CBI,101,68.05,948,232.78
Jiribam,IND,0,0,0,0
Kakching,IOB,0,0,31,58.78
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,3,10.71,27,15.29
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,0,0
Thoubal,BAND,93,36.56,790,202.14
Ukhrul,HDFC,2,0.63,18,32.51
