District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri Disb No.
Bishnupur,,43,680.15,0,4,0,230,36,0,0,134,447
Chandel,,27,1.94,0,0,0,10,1,0,0,0,38
Churachandpur,,123,56.52,0,0,0,13,16,0,0,44,196
Imphal East,,26,258643,0,9,0,506,23,0,0,485,1049
Imphal West,,48,850458,0,122,0,564,41,0,0,1072,1847
Jiribam,,0,20,0,2,0,0,1,0,0,2,5
Kakching,,73,219.7,0,2,0,17,58,0,0,8,158
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,0,3060032,0,0,0,10,0,0,0,66,76
Noney,,0,2,0,0,0,1,0,0,0,0,1
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,5,2100018,0,2,0,4,0,0,0,3,14
Tamenglong,,4,5.47,0,0,0,1,0,0,0,1,6
Tengnoupal,,9,0.64,0,0,0,1,0,0,0,16,26
Thoubal,,25,2225.25,0,6,0,356,2,0,0,682,1071
Ukhrul,,9,4.51,0,1,0,4,1,0,0,34,49
