District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bishnupur,4026,6996.1,71,725.6,0,0,71,115.05,4168,7836.75
Chandel,685,1096.13,1,10.59,0,0,1,1.13,687,1107.85
Churachandpur,2652,8797.5,103,971.95,1,84.34,20,55.16,2776,9908.95
Imphal East,7817,19016.92,502,5224.18,26,322.78,373,412.31,8718,24976.19
Imphal West,16566,75008.98,2116,30732.82,68,4701.23,874,1286.87,19624,111729.9
Jiribam,92,262.56,11,10.91,0,0,0,0,103,273.47
Kakching,2878,4785.62,152,426.69,2,48.5,0,0,3032,5260.81
Kamjong,96,119.37,0,0,0,0,0,0,96,119.37
Kangpokpi,1253,3155.54,13,152.79,0,0,0,0,1266,3308.33
Noney,393,581.16,0,0,0,0,0,0,393,581.16
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,2053,6425.87,77,201.78,0,0,100,139.21,2230,6766.86
Tamenglong,505,945.52,24,64.34,0,0,0,0,529,1009.86
Tengnoupal,1281,1769.68,63,68.63,1,0.06,2,2.32,1347,1840.69
Thoubal,5876,10543.43,51,1275.79,1,66.31,98,156.8,6026,12042.33
Ukhrul,1103,2005.13,51,99.44,3,0.6,0,0,1157,2105.17
