District,Duringthe Quarter Savings Linked No.,Duringthe Quarter Savings Linked Amt,Duringthe Quarter Credit Linked No.,Duringthe Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bishnupur,324,34.41,32,49.44,324,93.69,32,49.44,357,335.2,52,34.02,10.15
Chandel,195,6.83,0,0,195,6.83,0,0,2,0.1,0,0,0
Churachandpur,1367,74.94,33,66.36,1367,74.94,31,66.3,251,257.15,102,29.76,11.57
Imphal East,125,15.9,80,159.32,135,16.28,80,159.32,248,318.44,22,11.67,3.66
Imphal West,505,174.65,76,134.24,686,223.95,77,134.88,279,352.62,79,66.04,18.73
Jiribam,42,3.28,0,0,42,3.28,0,0,21,33.2,1,0.33,0.99
Kakching,268,46.27,41,25.03,288,46.71,40,25.02,148,151.53,12,5.37,3.54
Kamjong,139,13.89,0,0,139,13.89,0,0,0,0,0,0,0
Kangpokpi,225,8.23,7,30.42,237,8.48,7,30.42,16,45.59,0,0,0
Noney,103,11.87,19,37,103,11.87,19,37,42,44.32,9,5.14,11.6
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,512,37.27,10,38.5,512,37.27,10,38.5,105,301.2,1,0.48,0.16
Tamenglong,129,6.22,0,0,129,6.22,0,0,13,11.48,6,0.85,7.4
Tengnoupal,199,12.44,17,6.26,199,12.44,17,6.26,61,104.51,0,0,0
Thoubal,330,80.84,55,76.78,328,79.71,55,76.87,196,163.38,55,14.27,8.73
Ukhrul,64,0.52,0,0,64,0.52,0,0,64,110.36,26,36.95,33.48
