district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bishnupur,94631,58387,60548,92223,152771,22522,2728.84,118549,36021,111758
Chandel,12681,0,5782,6896,12678,856,391.7,11959,4581,9187
Churachandpur,93799,3807,45938,53862,99800,10987,3640.35,75991,27098,66754
Imphal East,98244,49949,59044,89027,148071,22617,3283.14,110890,37848,106657
Imphal West,48109,203380,102039,149122,251161,29551,6404.4,199324,78796,191098
Jiribam,18863,0,8111,10752,18863,2792,584.72,16038,8012,16533
Kakching,29724,50078,33846,45884,79730,10540,1293.42,60836,18226,58526
Kamjong,2273,0,1135,1137,2272,56,105.65,2448,943,1254
Kangpokpi,27570,1803,14219,15149,29368,5040,873.57,19886,9456,14532
Noney,10735,0,5628,5076,10704,1685,497.85,9625,2976,6470
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,38588,0,17795,20703,38498,1322,1668.53,42023,11594,23216
Tamenglong,4431,20764,13374,11821,25195,6697,570.87,27567,9908,15002
Tengnoupal,10859,6066,7575,9331,16906,2181,536.61,18496,5346,12770
Thoubal,80581,71349,63919,87862,151781,24374,2487.92,111088,24239,99072
Ukhrul,5896,65430,35978,35335,71313,14976,2764.08,63544,16689,35456
