District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2587.84,41572.71,0,44160.55,5728.78,59316.35,3398.3,68443.43,221.37,142.68,,154.99
Chandel,13724.83,0,0,13724.83,20223.46,30.41,194.24,20448.11,147.35,,,148.99
Churachandpur,111544,6914.62,0,118458.6,94035.73,6341.67,1128.09,101505.5,84.3,91.71,,85.69
Imphal East,119585.2,12894.45,55463.73,187943.4,101512.4,6766.51,51806.19,160085.1,84.89,52.48,93.41,85.18
Imphal West,37545.81,47683.12,853378.4,938607.4,36772.29,58003.75,577604.6,672380.7,97.94,121.64,67.68,71.64
Jiribam,12909.92,227.02,0,13136.94,4914.17,222.87,0,5137.04,38.07,98.17,,39.1
Kakching,1028.68,25155.52,0,26184.2,1193.39,39858.23,0,41051.62,116.01,158.45,,156.78
Kamjong,1279.32,0,0,1279.32,1625.73,0,0,1625.73,127.08,,,127.08
Kangpokpi,40868.96,0,0,40868.96,32929.2,0,0,32929.2,80.57,,,80.57
Noney,4314.46,0,0,4314.46,3744.82,0,0,3744.82,86.8,,,86.8
Pherzawl,2.37,0,0,2.37,0,0,0,0,0,,,0
Senapati,52088.27,998.52,0,53086.79,49318.64,895.47,312.45,50526.56,94.68,89.68,,95.18
Tamenglong,795.61,13153.12,0,13948.73,334.87,9895.21,316.18,10546.26,42.09,75.23,,75.61
Tengnoupal,5730.91,6396.08,0,12126.99,13079.62,5808.08,0,18887.7,228.23,90.81,,155.75
Thoubal,9427.81,43290.45,0,52718.26,14990.57,72578.64,5088.71,92657.92,159,167.66,,175.76
Ukhrul,2008.44,29410.76,0,31419.2,4279.45,20866.42,184.8,25330.67,213.07,70.95,,80.62
